Course Delivery Mode,Faculty,Currency,Career_Outcomes/path,Currency_Time,Course_Lang,Country,Duration,Website,Part_Time,Blended,Full_Time,Course,Prerequisite_2_grade_2,Online,Availability,Face_to_Face,Prerequisite_1_grade_1,Int_Fees,Offline,Prerequisite_1,Description,Remarks,Level_Code,City,Distance,University,Prerequisite_2,Duration_Time,Local_Fees,FREE TAFE
Normal,Business and Finance,AUD,accountantmanagement accountantfinancial accountantauditor,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Accounting-and-Financial-Services/Bachelor-of-Business-Accounting,Yes,No,Yes,Bachelor of Business (Accounting),6.0,No,A,Yes,,"16,900",Yes,ATAR,Holmesglen's Bachelor of Business (Accounting) has been developed to provide individuals with the opportunity to achieve an accounting qualification through a more practical and hands-on approach to learning.,,BA,Melbourne,No,Holmesglen Institute,IELTS,Years,"9,897.00",No
Normal,Business and Finance,AUD,PhD in an Accounting specialisation.,Years,English,Australia,2.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Accounting-and-Financial-Services/Master-of-Professional-Accounting,Yes,No,Yes,Master of Professional Accounting,6.5,No,A,Yes,,"19,000",Yes,ATAR,The Master of Professional Accounting equips you with the skills and expertise required to excel in the professional field of accounting. Graduates of the course will have a thorough foundation in the traditional disciplines underpinning the accounting profession.,,MST,Melbourne,No,Holmesglen Institute,IELTS,Years,"17,029.10",No
Traineeship,Business and Finance,AUD,retailbusinessaviation (including Drones),Years,English,Australia,2.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Business-Administration/Certificate-II-in-Small-Business-Operations-Innovation-VET-Delivered-to-Secondary-School-Students,Yes,No,No,Certificate II in Small Business (Operations/Innovation),Na,No,D,Yes,,NoIntFee,Yes,ATAR,The Certificate II in Small Business (Operations/Innovation) will help you develop skills to run a small business.,,CERTII,Melbourne,No,Holmesglen Institute,IELTS,Years,NoLocalFee,No
Normal,Business and Finance,AUD,administrative officerproject co-ordinatorjunior level office manager,Years,English,Australia,6.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Business-Administration/Certificate-IV-in-Business,No,No,Yes,Certificate IV in Business,5.5,No,A,Yes,,"6,400",Yes,ATAR,"The Certificate IV in Business will provide you with the skills and knowledge required for entry-level administrative, management and business roles. In the course, you will develop core fundamental skills in business operation processes, administrative and management processes.",,CERTIV,Melbourne,No,Holmesglen Institute,IELTS,Months,"5,362.50",No
Normal,Business and Finance,AUD,medical receptionistadministrative role in a medical / health environmentward clerkexecutive assistant,Years,English,Australia,6.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Business-Administration/Certificate-IV-in-Health-Administration,Yes,No,Yes,Certificate IV in Health Administration,5.5,No,A,Yes,,"6,400",Yes,ATAR,The Certificate IV in Health Administration focuses on practical learning and will provide you with the skills to undertake a range of administrative tasks relevant to the health services.,,CERTIV,Melbourne,No,Holmesglen Institute,IELTS,Months,"4,397.25",No
Normal,Business and Finance,AUD,administrative officer personal assistantexecutive assistantmedical receptionist,Years,English,Australia,6.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Business-Administration/Diploma-of-Business-Administration,Yes,No,Yes,Diploma of Business Administration,5.5,No,A,Yes,,"6,400",Yes,ATAR,The Diploma of Business Administration provides managerial level training for clerical and administration staff.,,DIP,Melbourne,No,Holmesglen Institute,IELTS,Months,"5,124.00",No
Normal,Business and Finance,AUD,Business analyst or consultantAssistant business managerHuman resources officer,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Business-Administration/Bachelor-of-Business-Administration,Yes,No,Yes,Bachelor of Business Administration,6.0,No,A,Yes,,"15,900",Yes,ATAR,"The Bachelor of Business Administration will equip you with a thorough understanding of specialised business functions, including business management, economics, finance, technology, marketing, business communications, statistics, law and people management.",,BA,Melbourne,No,Holmesglen Institute,IELTS,Years,"9,897.00",No
Normal,Business and Finance,AUD,middle-level managerHR officerOHS officerrecruitment officerrecruitment AdviserHR generalist,Years,English,Australia,6.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Human-Resources/Diploma-of-Human-Resources-Management,No,No,Yes,Diploma of Human Resources Management,5.5,No,A,Yes,,"6,400",Yes,ATAR,The modern HR manager is a strategic business partner and a major contributor to change management initiatives throughout an organisation. The Diploma of Human Resources Management will introduce you to the key skills required for people management.,,DIP,Melbourne,No,Holmesglen Institute,IELTS,Months,"5,265.00",No
Normal,Business and Finance,AUD,general managersupervisory roleteam leader project administrator,Years,English,Australia,1.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Management/Diploma-of-Leadership-and-Management,Yes,No,No,Diploma of Leadership and Management,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"Learn how to empower, manage and motivate with this Diploma of Leadership and Management, delivered through remote learning*.",,DIP,Melbourne,No,Holmesglen Institute,IELTS,Year,"7,125.00",No
Normal,Business and Finance,AUD,project managerproject officerproject administrator,Years,English,Australia,6.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Management/Diploma-of-Project-Management,Yes,No,No,Diploma of Project Management,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"If you are managing or coordinating projects in a wide range of industry, commercial and workplace settings - or would like to - the Diploma of Project Management is for you.",,DIP,Melbourne,No,Holmesglen Institute,IELTS,Months,"5,244.00",No
Apprenticeship,Building and Construction,AUD,bricklayerblocklayer,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Bricklaying-and-Stonemasonry/Certificate-III-in-Bricklaying-Blocklaying-Apprenticeship,Yes,No,No,Certificate III in Bricklaying/Blocklaying,Na,No,D,Yes,,NoIntFee,Yes,ATAR,The Certificate III in Bricklaying/Blocklaying will give an apprentice all the practical and theoretical training needed for the trade.,,CERTIII,Melbourne,No,Holmesglen Institute,IELTS,Years,"2,879.20",No
Apprenticeship,Building and Construction,AUD,Stonemason,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Bricklaying-and-Stonemasonry/Certificate-III-in-Stonemasonry-Monumental-Installation-Apprenticeship,Yes,No,No,Certificate III in Stonemasonry (Monumental/Installation),Na,No,D,Yes,,NoIntFee,Yes,ATAR,"The Certificate III in Stonemasonry (Monumental/Installation) provides comprehensive training for stonemasonry apprentices, covering both practical and theoretical aspects of the stonemasonry trade. Stonemasonry is the craft of shaping pieces of rock into mostly simple, but sometimes considerably complex, accurate geometrical shapes. The resulting stones are then constructed together to form structures.",,CERTIII,Melbourne,No,Holmesglen Institute,IELTS,Years,"2,796.60",No
Normal,Building and Construction,AUD,Registered builderconstruction managerdomestic builderbuilding estimatorbuilding/construction project supervisor,Years,English,Australia,32.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Building-and-Construction-Management/Certificate-IV-in-Building-and-Construction-Building-for-trade-professionals,Yes,No,No,Certificate IV in Building and Construction (Building),Na,No,D,Yes,,NoIntFee,Yes,ATAR,This Certificate IV in Building and Construction (Building) is specifically tailored for people with at least three years' work experience in the building and construction industry.,,CERTIV,Melbourne,No,Holmesglen Institute,IELTS,Weeks,"10,795.00",Yes
Normal,Building and Construction,AUD,registered builderconstruction managerdomestic builderbuilding estimatorbuilding/construction project supervisor,Years,English,Australia,1.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Building-and-Construction-Management/Certificate-IV-in-Building-and-Construction-Building,Yes,No,Yes,Certificate IV in Building and Construction (Building),5.5,No,A,Yes,,"14,900",Yes,ATAR,"The Certificate IV in Building and Construction (Building) will give you the skills necessary to run a small to medium construction business. And this version of the Certificate IV has been designed for people looking to start a career in the building industry, or people looking to change careers or re-enter the workforce.",,CERTIV,Melbourne,No,Holmesglen Institute,IELTS,Year,"10,795.00",Yes
Normal,Building and Construction,AUD,"on-site management and supervision of residential and medium rise projectslocal, national and international construction managementspecialist construction roles in quality assurance and safety",Years,English,Australia,18.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Building-and-Construction-Management/Diploma-of-Building-and-Construction-Building,Yes,No,Yes,Diploma of Building and Construction (Building),5.5,No,A,Yes,,"14,900",Yes,ATAR,"The Diploma of Building and Construction (Building) has been designed to meet the needs of a building professional who coordinates the construction of a building, taking responsibility for the overall completion of the job, including selecting contractors, overseeing the work and its quality, and liaising with the client.",,DIP,Melbourne,No,Holmesglen Institute,IELTS,Months,"19,910.00",Yes
Normal,Building and Construction,AUD,contract administratorestimatorproject managerquantity surveyorbuilding consultant,Years,English,Australia,4.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Building-and-Construction-Management/Bachelor-of-Construction-Management-and-Economics,Yes,No,Yes,Bachelor of Construction Management and Economics,6.0,No,A,Yes,,"19,200",Yes,ATAR,The Bachelor of Construction Management and Economics is a four-year degree designed to meet the professional requirements for accreditation by the Australian Institute of Building and the Australian Institute of Quantity Surveyors.No longer accepting new students into this course.,,BA,Melbourne,No,Holmesglen Institute,IELTS,Years,"11,921.80",No
Normal,Building and Construction,AUD,building designerarchitectural technicianarchitectural assistantbuilding design assistantarchitectural draftsperson.,Years,English,Australia,2.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Building-Design-and-Drafting/Advanced-Diploma-of-Building-Design-Architectural,Yes,No,Yes,Advanced Diploma of Building Design (Architectural),5.5,No,A,Yes,,"14,900",Yes,ATAR,"When you study the Advanced Diploma of Building Design (Architectural), you will develop your architectural building design skills in both the residential and commercial areas of the industry. You will work on real projects, reflecting real-life work practices, responding to real client briefs.",,ADIP,Melbourne,No,Holmesglen Institute,IELTS,Years,"24,095.00",No
Normal,Building and Construction,AUD,Relevant post-graduate courses.,Years,English,Australia,4.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Building-Design-and-Drafting/Bachelor-of-Building-Surveying,Yes,No,Yes,Bachelor of Building Surveying,Na,No,D,Yes,,NoIntFee,Yes,ATAR,The Bachelor of Building Surveying is a four-year (equivalent) professional course designed to meet the needs of the building surveying industry. Entry is limited to students pathwaying from specific diplomas and advanced diplomas..No longer accepting new students into this course.,,BA,Melbourne,No,Holmesglen Institute,IELTS,Years,"11,921.80",No
Pre-apprenticeship,Building and Construction,AUD,Apprentice carpenterTrades assistant in the building industryLabourer,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Carpentry-and-Joinery/Certificate-II-in-Building-and-Construction-Pre-apprenticeship-Carpentry,No,No,Yes,Certificate II in Building and Construction Pre-apprenticeship,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"The 22338VIC Certificate II in Building and Construction Pre-apprenticeship, carpentry stream, is for both school leavers and mature-age students who wish to build their practical experience and knowledge to ensure their employment opportunities as an apprentice carpenter.",,CERTII,Melbourne,No,Holmesglen Institute,IELTS,Days,"8,195.00",Yes
Pre-apprenticeship,Building and Construction,AUD,carpentry apprenticeshipbuilding trade apprenticeship,Years,English,Australia,2.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Carpentry-and-Joinery/Certificate-II-in-Building-and-Construction-Pre-apprenticeship-Carpentry-VET-delivered-to-Secondary-School-Students,Yes,No,No,Certificate II in Building and Construction Pre-apprenticeship,Na,No,D,Yes,,NoIntFee,Yes,ATAR,The Certificate II in Building and Construction is designed to improve your carpentry or associated building trades apprenticeship prospects.,,CERTII,Melbourne,No,Holmesglen Institute,IELTS,Years,NoLocalFee,No
Normal,Building and Construction,AUD,"apprentice carpenterapprentice wall and floor tilingapprentice bricklayerapprentice form worker, joiner and shopfitter",Years,English,Australia,4.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Carpentry-and-Joinery/Certificate-II-in-Construction-Pathways,No,No,Yes,Certificate II in Construction Pathways,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"The Certificate II in Construction Pathways will provide you with skills and knowledge across a range of trade occupations, such as joinery, shopfitting, carpentry and bricklaying and tiling.",,CERTII,Melbourne,No,Holmesglen Institute,IELTS,Months,"5,330.00",Yes
Traineeship,Building and Construction,AUD,"apprentice carpenterapprentice wall and floor tilerapprentice bricklayerappenticer form worker, joiner and shopfitter",Years,English,Australia,2.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Carpentry-and-Joinery/Certificate-II-in-Construction-Pathways-VET-Delivered-to-Secondary-School-Students,Yes,No,No,Certificate II in Construction Pathways,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"The CPC20211 Certificate II in Construction Pathways will provide you with skills and knowledge across a range of trade occupations, such as carpentry and bricklaying and tiling.",,CERTII,Melbourne,No,Holmesglen Institute,IELTS,Years,NoLocalFee,No
Apprenticeship,Building and Construction,AUD,CarpenterCarpenter and joiner,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Carpentry-and-Joinery/Certificate-III-in-Carpentry-Apprenticeship,Yes,No,No,Certificate III in Carpentry,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"The Certificate III in Carpentry provides comprehensive training for carpentry apprentices, and covers all practical and theoretical aspects of the trade.",,CERTIII,Melbourne,No,Holmesglen Institute,IELTS,Years,"6,515.20",No
Normal,Building and Construction,AUD,Carpenter,Years,English,Australia,1.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Carpentry-and-Joinery/Certificate-III-in-Carpentry,No,No,Yes,Certificate III in Carpentry,5.5,No,A,Yes,,"14,900",Yes,ATAR,"The Certificate III in Carpentry provides comprehensive training, covering all practical and theoretical aspects of the trade.",,CERTIII,Melbourne,No,Holmesglen Institute,IELTS,Year,"17,410.00",No
Apprenticeship,Building and Construction,AUD,shopfitter/Joinercabinet makerfurniture makerwood machinistCNC operatorcaravan fittercoffin makerchair/couch makerantique restorer/reproducerboat building,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Carpentry-and-Joinery/Certificate-III-in-Joinery-Apprenticeship,Yes,No,No,Certificate III in Joinery,Na,No,D,Yes,,NoIntFee,Yes,ATAR,The Certificate III in Joinery provides comprehensive training in all practical and theoretical aspects of joinery.,,CERTIII,Melbourne,No,Holmesglen Institute,IELTS,Years,"6,918.40",No
Normal,Building and Construction,AUD,shopfitter/joinercabinet makerfurniture makerwood machinistCNC operatorcaravan fitterchair/couchmakerantique restorer/reproducerboat builder,Years,English,Australia,1.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Carpentry-and-Joinery/Certificate-III-in-Joinery,No,No,Yes,Certificate III in Joinery,5.5,No,A,Yes,,"14,900",Yes,ATAR,The Certificate III in Joinery provides comprehensive training in all practical and theoretical aspects of joinery.,,CERTIII,Melbourne,No,Holmesglen Institute,IELTS,Year,"17,424.90",No
Apprenticeship,Building and Construction,AUD,shopfitter/joinercabinet makerfurniture makerwood machinistCNC operatorcaravan fittercoffin makerchair/couch makerantique restorer/reproducerboat building,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Building-and-Construction/Carpentry-and-Joinery/Certificate-III-in-Shopfitting-Apprenticeship,Yes,No,No,Certificate III in Shopfitting,Na,No,D,Yes,,NoIntFee,Yes,ATAR,This course provides you with comprehensive training in all practical and theoretical aspects of shopfitting.,,CERTIII,Melbourne,No,Holmesglen Institute,IELTS,Years,"4,966.40",No
