Level_Code,University,City,Course,Faculty,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DPG,Monash University,Melbourne,Clinical Neuropsychology,Medical and Nursing,"32,100",AUD,Years,4.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/clinical-neuropsychology-4586?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Clinical Psychology,Medical and Nursing,"32,100",AUD,Years,4.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/clinical-psychology-4585?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Creative writing,Computer Science & Information Technology,"34,700",AUD,Years,4.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/creative-writing-3940?international=true,English,A,"Monash Arts is internationally recognised for producing innovative, engaging and high quality research, and our course gives you an opportunity to delve into cross-genre ideas supporting the challenges and needs of a contemporary writer in today's critical and literary global communities.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Design (by Research),Engineering,"34,100",AUD,Years,2.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/design-by-research-3111?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash graduate research degree can give you a distinct advantage.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Education,Education,"33,700",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/education-0079?international=true,English,A,"Monash University supports, promotes and conducts high quality research that holds significant impact in Australia and overseas. Graduates from Monash Education's doctoral programs occupy senior positions in education and research in many countries around the world within both the public and private sector.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Education,Education,"33,700",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/education-0079?international=true,English,A,"Monash University supports, promotes and conducts high quality research that holds significant impact in Australia and overseas. Graduates from Monash Education's doctoral programs occupy senior positions in education and research in many countries around the world within both the public and private sector.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Education,Education,"33,700",AUD,Years,1.0,Year,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/education-3204?international=true,English,A,"Today's educators are expected to be lifelong learners, able to adapt to global changes in education where routines and boundaries are often challenged.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Education,Education,"33,700",AUD,Years,1.0,Year,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/education-3204?international=true,English,A,"Today's educators are expected to be lifelong learners, able to adapt to global changes in education where routines and boundaries are often challenged.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Educational and Developmental Psychology and Philosophy,Humanities and Social Science,"33,700",AUD,Years,4.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/educational-and-developmental-psychology-and-philosophy-3736?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Engineering,Engineering,"46,000",AUD,Years,4.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/engineering-3291?international=true,English,A,"Monash Engineering operates at the forefront of engineering research. All specialised fields of research are at world standard or above and the most recent Excellence in Research for Australia assessment has rated our research results well above world standard.  With access to world-class laboratories, workshops and facilities and with highly specialised equipment and software, a PhD in Engineering offers you a stimulating, supportive and professional environment in which to explore engineering challenges and develop solutions for the future...",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Engineering Science (Research),Engineering,"46,000",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/engineering-science-research-3292?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Fine Art,Creative Arts & Design & Music,"34,100",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/fine-art-2953?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash graduate research degree can give you a distinct advantage.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Information Technology,Computer Science & Information Technology,"42,800",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/information-technology-0190?international=true,English,A,"Monash University has a proud tradition of research excellence, and is committed to providing the highest quality of graduate research education. By undertaking your graduate studies at Monash, you will have the opportunity to be part of our stimulating, supportive and professional research environment.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Information Technology,Computer Science & Information Technology,"42,800",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/information-technology-0190?international=true,English,A,"Monash University has a proud tradition of research excellence, and is committed to providing the highest quality of graduate research education. By undertaking your graduate studies at Monash, you will have the opportunity to be part of our stimulating, supportive and professional research environment.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Law,Law,"37,400",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/law-0069?international=true,English,A,"Monash University has a proud tradition of research excellence, and is committed to providing the highest quality of graduate research education. By undertaking your graduate studies at Monash, you will have the opportunity to be part of our stimulating and supportive and professional research environment.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Monash Sustainable Development Institute,Humanities and Social Science,"34,400",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/monash-sustainable-development-institute-2710?international=true,English,A,"The Monash Sustainable Development Institute (MSDI) is a world leader in sustainable development, bringing together experts from multiple fields of endeavour in world-leading interdisciplinary programs and centres of excellence. Research undertaken at MSDI has a practical or policy emphasis that is solution focused. MSDI offers you a stimulating, supportive and professional environment within which you can explore the issues relating to climate change and sustainability facing society today.",Australia,No,Yes,Yes,Yes,No,
DPG,Monash University,Melbourne,Monash University Accident Research Centre,Engineering,"42,600",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/monash-university-accident-research-centre-2602?international=true,English,A,"The Monash University Accident Research Centre (MUARC) is a truly multi-disciplinary research organisation and one of the leading injury prevention research centres in the world. Based at the Clayton Campus of Monash University, MUARC has well established links with a large number of Monash faculties. Indeed, one of the defining features of research at MUARC is that it reaches across traditional discipline boundaries.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Monash University Accident Research Centre,Engineering,"42,600",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/monash-university-accident-research-centre-2602?international=true,English,A,"The Monash University Accident Research Centre (MUARC) is a truly multi-disciplinary research organisation and one of the leading injury prevention research centres in the world. Based at the Clayton Campus of Monash University, MUARC has well established links with a large number of Monash faculties. Indeed, one of the defining features of research at MUARC is that it reaches across traditional discipline boundaries.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Music,Creative Arts & Design & Music,"34,700",AUD,Years,4.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/music-4088?international=true,English,A,"Further your music development with a PhD, examining music across genres from early styles to improvisation and real-time machine music. Monash Arts is internationally recognised for producing innovative, engaging and high quality research, and the PhD (Music) gives you the practical experience and opportunity to develop your expertise as a researcher and the professional tools needed to undertake music for professional purposes.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Philosophy,Humanities and Social Science,"42,600",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/philosophy-2603?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Philosophy,Humanities and Social Science,"42,600",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/philosophy-2603?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Philosophy,Humanities and Social Science,"32,100",AUD,Years,2.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/philosophy-3194?international=true,English,A,"Master of Philosophy degree enables you to complete independent research under the supervision of expert academics, including the submission of a thesis.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Philosophy,Humanities and Social Science,"32,100",AUD,Years,2.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/philosophy-3194?international=true,English,A,"Master of Philosophy degree enables you to complete independent research under the supervision of expert academics, including the submission of a thesis.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Philosophy,Humanities and Social Science,"32,100",AUD,Years,2.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/philosophy-3194?international=true,English,A,"Master of Philosophy degree enables you to complete independent research under the supervision of expert academics, including the submission of a thesis.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Philosophy,Humanities and Social Science,"42,800",AUD,Years,2.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/philosophy-3337?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Philosophy,Humanities and Social Science,"42,800",AUD,Years,2.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/philosophy-3337?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Philosophy,Humanities and Social Science,"37,400",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/philosophy-3379?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Philosophy,Humanities and Social Science,"44,500",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/philosophy-3521?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Reproductive Sciences,Creative Arts & Design & Music,"43,500",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/reproductive-sciences-0100?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Reproductive Sciences,Creative Arts & Design & Music,"43,500",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/reproductive-sciences-0100?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Reproductive Sciences,Creative Arts & Design & Music,"43,500",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/reproductive-sciences-0100?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Science,Science and Health Science,"44,500",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/science-0057?international=true,English,A,"Monash University is committed to providing graduate research education of the highest quality in a stimulating, supportive and professional environment. By undertaking a PhD in Science, you will become a member of a dynamic community of scholars committed to innovation and discovery and contribute to the advancement of knowledge within your area of expertise. Monash Science PhD graduates are highly employable, with many pursuing careers in academia and industry around the world.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Surgery,Medical and Nursing,"46,500",AUD,Years,1.0,Year,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/surgery-3443?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Surgery,Medical and Nursing,"46,500",AUD,Years,1.0,Year,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/surgery-3443?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Surgery,Medical and Nursing,"46,500",AUD,Years,1.0,Year,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/surgery-3443?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Theatre performance,Mass Communication & Media,"34,700",AUD,Years,4.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/theatre-performance-4066?international=true,English,A,"Monash Arts is internationally recognised for producing innovative, engaging and high quality research, and the PhD (Theatre performance) is considered one of the most outstanding and comprehensive courses of its kind in any Australian university. It is run by the Centre of Theatre Performance (CTP), home to one of the largest cohort of postgraduate  students in theatre and performance in Australia.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Theatre performance,Mass Communication & Media,"34,700",AUD,Years,4.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/theatre-performance-4066?international=true,English,A,"Monash Arts is internationally recognised for producing innovative, engaging and high quality research, and the PhD (Theatre performance) is considered one of the most outstanding and comprehensive courses of its kind in any Australian university. It is run by the Centre of Theatre Performance (CTP), home to one of the largest cohort of postgraduate  students in theatre and performance in Australia.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Translation studies,Language & Literature,"34,700",AUD,Years,4.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/translation-studies-4080?international=true,English,A,"Monash Arts is internationally recognised for producing innovative, engaging and high quality research, and Monash University is currently a national leader in the field of interpreting and translation. We are the first and only Australian university to gain a full membership of CIUTI (Conférence Internationale d’Instituts Universitaires de Traducteurs et Interprètes), limited to institutions that meet internationally recognised standards. We are also one of the only courses in Australia endorsed at the Professional Interpreter, Professional Translator and Conference Interpreter levels by the National Accreditation Authority for Translators and Interpreters (NAATI). Our department enjoys an international reputation with scholars actively involved in the national and international translation and interpreting studies scene.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Translation studies,Language & Literature,"34,700",AUD,Years,4.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/translation-studies-4080?international=true,English,A,"Monash Arts is internationally recognised for producing innovative, engaging and high quality research, and Monash University is currently a national leader in the field of interpreting and translation. We are the first and only Australian university to gain a full membership of CIUTI (Conférence Internationale d’Instituts Universitaires de Traducteurs et Interprètes), limited to institutions that meet internationally recognised standards. We are also one of the only courses in Australia endorsed at the Professional Interpreter, Professional Translator and Conference Interpreter levels by the National Accreditation Authority for Translators and Interpreters (NAATI). Our department enjoys an international reputation with scholars actively involved in the national and international translation and interpreting studies scene.",Australia,No,Yes,Yes,Yes,Yes,
