Face_to_Face,Description,Website,Country,Blended,Faculty,Currency,Availability,Prerequisite_2,Local_Fees,Level_Code,City,Prerequisite_3,Full_Time,Duration,Course_Lang,Part_Time,Career_Outcomes/path,Int_Fees,Prerequisite_2_grade_2,Offline,University,Prerequisite_3_grade_3,Prerequisite_1,Remarks,Distance,Duration_Time,Online,Course,Currency_Time,Prerequisite_1_grade_1
Yes,"In recent years, interest and industry demand for business analytics specialists has increased significantly. The quality, quantity and diversity of data available has never been greater, with many organisations relying on the expertise of business analysists to inform decision making and strategic direction. As a result, career opportunities in this area have boomed.",https://www.newcastle.edu.au/degrees/bachelor-of-business-analytics,Australia,No,Science,AUD,A,IELTS,,BA,Newcastle,,Yes,3.0,English,No,"General and operations manager, Business analyst, Financial Manager, Financial Analyst, Management analyst, Market research analyst, Marketing specialist","30,090 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Business Analytics,Years,N/A
Yes,"The impacts of climate variability and climate change are affecting our lives like never before. There is an urgent need to better understand, quantify, and adapt to climate-related risks.",https://www.newcastle.edu.au/degrees/bachelor-of-climate-science-and-adaptation,Australia,No,Science,AUD,A,IELTS,,BA,Newcastle,,Yes,3.0,English,No,"air quality control, climate and energy, climate action and resilience, climate change operations, climate change policy, climatology, ecology, energy and resources, environmental impact and assessment, laboratory and research work, meteorology","30,230 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Climate Science and Adaptation,Years,N/A
Yes,Is the ocean and coast part of your lifestyle? Are you wanting to learn about the marine environment?,https://www.newcastle.edu.au/degrees/bachelor-of-coastal-and-marine-science,Australia,No,Science,AUD,A,IELTS,,BA,Newcastle,,Yes,3.0,English,No,"Waterways and Coastal Officer, Fisheries Technician, Fisheries Research Assistant, Environmental Compliance Officer, Biologist, Ecologist, Environmental Consultant, Coastal and Marine Park Governance, Marine Biologist, Sustainability Officer, Ecotourism","30,230 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Coastal and Marine Science,Years,62.00
Yes,Is the ocean and coast part of your lifestyle? Are you wanting to learn about the marine environment?,https://www.newcastle.edu.au/degrees/bachelor-of-coastal-and-marine-science,Australia,No,Science,AUD,A,IELTS,,BA,Central Coast,,Yes,3.0,English,No,"Waterways and Coastal Officer, Fisheries Technician, Fisheries Research Assistant, Environmental Compliance Officer, Biologist, Ecologist, Environmental Consultant, Coastal and Marine Park Governance, Marine Biologist, Sustainability Officer, Ecotourism","30,230 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Coastal and Marine Science,Years,62.00
Yes,"The Bachelor of Commerce is a practical and flexible degree, with core courses designed to give you a thorough overview of business and commerce environments, before you specialise in Accounting, Economics, or Finance. When you study a commerce degree at the University of Newcastle, you will be equipped to make a smooth transition from the classroom to the boardroom, by acquiring skills that employers value.",https://www.newcastle.edu.au/degrees/bachelor-of-commerce,Australia,No,Business & Law,AUD,A,IELTS,,BA,Newcastle,,Yes,3.0,English,No,"Branch Manager (Banking), Business Analyst, Business Relationship Manager, Compliance Officer, Entrepreneur, Executive Manager, Finance Manager, Financial Analyst, Financial Dealer and Broker, Financial Planner, Foreign Affairs and Trade Officer, Investment Banker, Operations Analyst, Para Planner, Parliamentarian/Member of Parliament/Politician, Portfolio Analyst, Portfolio Manager, Property & Research Analyst, Risk Analyst, Stockbroker, Strategy Analyst, Superannuation Advisor, Technical Analyst, Trainee Manager, University Lecturer/Academic","30,230 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Commerce,Years,65.00
Yes,"The Bachelor of Commerce is a practical and flexible degree, with core courses designed to give you a thorough overview of business and commerce environments, before you specialise in Accounting, Economics, or Finance. When you study a commerce degree at the University of Newcastle, you will be equipped to make a smooth transition from the classroom to the boardroom, by acquiring skills that employers value.",https://www.newcastle.edu.au/degrees/bachelor-of-commerce,Australia,No,Business & Law,AUD,A,IELTS,,BA,Central Coast,,Yes,3.0,English,No,"Branch Manager (Banking), Business Analyst, Business Relationship Manager, Compliance Officer, Entrepreneur, Executive Manager, Finance Manager, Financial Analyst, Financial Dealer and Broker, Financial Planner, Foreign Affairs and Trade Officer, Investment Banker, Operations Analyst, Para Planner, Parliamentarian/Member of Parliament/Politician, Portfolio Analyst, Portfolio Manager, Property & Research Analyst, Risk Analyst, Stockbroker, Strategy Analyst, Superannuation Advisor, Technical Analyst, Trainee Manager, University Lecturer/Academic","30,230 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Commerce,Years,65.00
Yes,The Bachelor of Commerce (Honours) is currently available in Accounting or Finance or Economics. Potential Honours students should consult with the Newcastle Business School towards the end of the semester prior to that in which they intend to enrol.,https://www.newcastle.edu.au/degrees/bachelor-of-commerce-honours,Australia,No,Business & Law,AUD,A,IELTS,,BAH,Newcastle,,Yes,1.0,English,No, ,"29,960 ",6.0,Yes,University of Newcastle,,ATAR,,,Year,No, Commerce (Honours),Years,N/A
Yes,"Study a Bachelor of Communication degree to develop cutting-edge skills to produce ground-breaking, thought-provoking and engaging work in diverse media industries.",https://www.newcastle.edu.au/degrees/bachelor-of-communication,Australia,No,Education & Arts,AUD,A,IELTS,,BA,Newcastle,,Yes,3.0,English,No,"Account Manager, Advertising Manager, Campaign Manager, Communications Consultant, Community Liaison Officer, Compliance Officer, Editor, Editorial Assistant, Electorate Officer, Events Manager, Festival/Events Co_ordinator, Foreign Affairs and Trade Officer, Internal Communications Officer, Lobbyist, Marketing Communications Manager, Marketing Consultant, Marketing Coordinator, Media Analyst, Media Consultant/PR Consultant, Media Officer, Media Planner, Media Presenter, Policy Development, Political Advisor, Public Relations Manager, Public Relations Officer, Publications Officer/Editor, Recreation Officer, Speechwriter, Sports Administrator, University Lecturer/Academic","29,960 ",6.5,Yes,University of Newcastle,,ATAR,,,Years,No, Communication,Years,64.00
Yes,Graduates of the Bachelor of Communication degree may undertake a further year of full-time (or equivalent part-time) study designed to further develop and encourage students in their area of interest in communication.  This degree prepares students for careers in communication as well as providing a pathway into Research Higher degrees study.,https://www.newcastle.edu.au/degrees/bachelor-of-communication-honours,Australia,No,Education & Arts,AUD,A,IELTS,,BAH,Newcastle,,Yes,1.0,English,No, ,"35,065 ",6.0,Yes,University of Newcastle,,ATAR,,,Year,No, Communication (Honours),Years,N/A
Yes,"At the University of Newcastle, we've designed our Computer Science degree to train graduates capable of solving the world’s greatest challenges. When you study to be a computer scientist, you could help fight diseases by discovering biomarkers that allow early diagnosis. Perhaps you’ll develop more sophisticated online learning systems to support access to education. You might improve safety and security by mining the data captured in smart cities. Or develop virtual reality programs to help people recover from post traumatic stress.",https://www.newcastle.edu.au/degrees/bachelor-of-computer-science,Australia,No,Science,AUD,A,IELTS,,BA,Newcastle,,Yes,3.0,English,No,"complex software systems, advanced computational techniques for graphics, animations and games, defence, security and database systems, bioinformatics, computational intelligence and robotics","35,065 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Computer Science,Years,78.70
Yes,This additional one year program is normally undertaken by students with an excellent academic record in the Bachelor of Computer Science degree who wish to broaden their knowledge as further preparation for professional practice or to meet the requirements for admission to a research degree.,https://www.newcastle.edu.au/degrees/bachelor-of-computer-science-honours,Australia,No,Science,AUD,A,IELTS,,BAH,Newcastle,,Yes,1.0,English,No, ,"32,755 ",6.0,Yes,University of Newcastle,,ATAR,,,Year,No, Computer Science (Honours),Years,N/A
Yes,The skyline’s the limit.,https://www.newcastle.edu.au/degrees/bachelor-of-construction-management-building-honours,Australia,No,Engineering & Built Environment,AUD,A,IELTS,,BAH,Newcastle,,Yes,4.0,English,No,"building surveyor/certifier, construction manager, estimator","32,755 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,Yes, Construction Management (Building) (Honours),Years,N/A
Yes,"If you’re interested in how individuals and societies are regulated, social responses to crime, and preventing crime, the Bachelor of Criminology is for you.",https://www.newcastle.edu.au/degrees/bachelor-of-criminology,Australia,No,Education & Arts,AUD,A,IELTS,,BA,Newcastle,,Yes,4.0,English,No,"law enforcement, courts and corrections, policy, victims’ advocacy, human welfare, and more.","32,755 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Criminology,Years,N/A
Yes,"A Bachelor of Creative Industries degree provides students with the opportunity to shape their work in line with socio-cultural environments and cutting-edge innovations. The program offers students the choice to specialise in a chosen field of individual creative interest in the areas of Communication and Media, Creative and Performing Arts, Design, Information Technology, Music, Visual Art-Imaging Technologies, Visual Art-Studio Practices, and Writing and Publishing. These specialisations are built around a core of critical courses rich in entrepreneurial activity, business skills, digital literacies and social innovation. Students are encouraged to develop professional networks and work with a range of stakeholders and audiences.  By the end of the program students will have attained sought-after skills for future employment and entrepreneurial capacity.",https://www.newcastle.edu.au/degrees/teach-out/bachelor-of-creative-industries-pre-2021,Australia,No,Education & Arts,AUD,A,IELTS,,BA,Newcastle,,Yes,3.0,English,No, ,"33,480 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Creative Industries,Years,62.90
Yes,Quietly change the world.,https://www.newcastle.edu.au/degrees/bachelor-of-design-architecture,Australia,No,Engineering & Built Environment,AUD,A,IELTS,,BA,Newcastle,,Yes,3.0,English,No,"local, state and federal government, overseas aid and support, infrastructure planning research, journalism, criticism, restoration and conservation","33,480 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Design (Architecture),Years,80.25
Yes,"Development, poverty, inequality and environmental sustainability are some of the most important issues in the world today. Studying and understanding these issues is the key to creating a better world for future generations.",https://www.newcastle.edu.au/degrees/bachelor-of-development-studies,Australia,No,Science,AUD,A,IELTS,,BA,Newcastle,,Yes,3.0,English,No,"international development, urban and regional planning, social policy, tourism, community development, environmental management, consultancy and management, advocacy and policy development work, research","33,480 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Development Studies,Years,79.00
Yes,"The Bachelor of Development Studies (Honours) degree examines globalisation processes from a variety of approaches, with a focus on urban and regional impacts, sustainable development and cultural diversity. It is a one year full-time (or equivalent part-time) program designed to allow students to develop their interests and expertise. The program consists of advanced theory, higher level learning and research and is considered to be a pathway into Research Higher degree study.",https://www.newcastle.edu.au/degrees/bachelor-of-development-studies-honours,Australia,No,Science,AUD,A,IELTS,,BAH,Newcastle,,Yes,1.0,English,No, ,"36,790 ",6.0,Yes,University of Newcastle,,ATAR,,,Year,No, Development Studies (Honours),Years,N/A
Yes,"Aerospace Systems Engineering involves a systems approach to the design, efficient operation and modification of high-tech devices for the aeronautical and defence industries. A key challenge for the development of aerospace systems is the need to be as light-weight as possible, yet highly reliable.",https://www.newcastle.edu.au/degrees/bachelor-of-aerospace-systems-engineering-honours,Australia,No,Engineering & Built Environment,AUD,A,IELTS,,BAH,Newcastle,,Yes,1.0,English,No,"Aerospace Engineer, Satellite Engineer, Systems Engineer, Various positions within aircraft design and manufacturing companies, Australian and international airlines, airworthiness organisations and the Australian Defence Force.","36,790 ",6.0,Yes,University of Newcastle,,ATAR,,,Year,No, Aerospace Systems Engineering (Honours),Years,80.25
Yes,"Chemical engineering. Pure science, applied to real world problems.",https://www.newcastle.edu.au/degrees/bachelor-of-chemical-engineering-honours,Australia,No,Engineering & Built Environment,AUD,A,IELTS,,BAH,Newcastle,,Yes,4.0,English,No,"biotechnology engineer, nuclear engineer, chemical safety manager, water treatment designer, mineral processing engineer, environmental remediation engineer","36,790 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Chemical Engineering (Honours),Years,80.15
Yes,Civil engineering. A firm foundation for your career.,https://www.newcastle.edu.au/degrees/bachelor-of-civil-engineering-honours,Australia,No,Engineering & Built Environment,AUD,A,IELTS,,BAH,Newcastle,,Yes,4.0,English,No,"structural engineering - design buildings, bridges, airports, railways, and towers, and the suitability of materials for infrastructure projects, water engineering - design and manage water supply, control and treatment systems, transport and traffic engineering – plan, investigate and optimise transport systems, geotechnical engineering - design foundations, support structures, assess stability of slopes and tunnels.","36,790 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Civil Engineering (Honours),Years,N/A
Yes,"Computer systems engineers combine creativity with technology to develop solutions to some of the world’s greatest challenges. They are essential in a wide range of industries like computer design, defence applications, communication networks and internet development. With a Bachelor of Computer Systems Engineering (Honours), you might find yourself developing advanced computing equipment for industrial or business systems. Or, you could develop or maintain banking data centre to run internet banking services.",https://www.newcastle.edu.au/degrees/bachelor-of-computer-systems-engineering-honours,Australia,No,Engineering & Built Environment,AUD,A,IELTS,,BAH,Newcastle,,Yes,4.0,English,No,"information and communications technologist, computer systems specialist, web developer","36,790 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Computer Systems Engineering (Honours),Years,86.30
Yes,The early years of any child's life are crucial to their later education and life experience. To be entrusted with teaching and caring for young children is an enormous responsibility but also a great privilege. Early childhood teaching is a truly rewarding professional career where you can really make a difference.,https://www.newcastle.edu.au/degrees/bachelor-of-education-early-childhood-and-primary-studies,Australia,No,Science,AUD,A,IELTS,,BA,Newcastle,,Yes,4.0,English,No, ,"33,980 ",6.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Early Childhood and Primary Studies),Years,86.30
Yes,"Teachers and education professionals have the power to change lives and shape young minds. If a rewarding career working with children sounds like a dream, then the Bachelor of Education (Early Childhood and Primary) degree is for you. Graduates qualify to work across a wide age range:",https://www.newcastle.edu.au/degrees/bachelor-of-education-early-childhood-and-primary,Australia,No,Education & Arts,AUD,A,IELTS,,BA,Newcastle,,Yes,4.0,English,No,"Children in their early years (birth to 5years old), Primary school-aged children (kinder to year 6).","33,980 ",7.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Early Childhood and Primary),Years,62.00
Yes,"Teachers and education professionals have the power to change lives and shape young minds. If a rewarding career working with children sounds like a dream, then the Bachelor of Education (Early Childhood and Primary) degree is for you. Graduates qualify to work across a wide age range:",https://www.newcastle.edu.au/degrees/bachelor-of-education-early-childhood-and-primary,Australia,No,Education & Arts,AUD,A,IELTS,,BA,Central Coast,,Yes,4.0,English,No,"Children in their early years (birth to 5years old), Primary school-aged children (kinder to year 6).","33,980 ",7.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Early Childhood and Primary),Years,62.00
Yes,The early years of any child's life are crucial to their later education and life experience. To be entrusted with teaching and caring for young children is an enormous responsibility but also a great privilege. Early childhood teaching is a truly rewarding professional career where you can really make a difference.,https://www.newcastle.edu.au/degrees/bachelor-of-education-early-childhood-and-primary-honours,Australia,No,Education & Arts,AUD,A,IELTS,,BAH,Newcastle,,Yes,4.0,English,No, ,"32,370 ",7.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Early Childhood and Primary) (Honours),Years,N/A
Yes,The early years of any child's life are crucial to their later education and life experience. To be entrusted with teaching and caring for young children is an enormous responsibility but also a great privilege. Early childhood teaching is a truly rewarding professional career where you can really make a difference.,https://www.newcastle.edu.au/degrees/bachelor-of-education-early-childhood-and-primary-honours,Australia,No,Education & Arts,AUD,A,IELTS,,BAH,Central Coast,,Yes,4.0,English,No, ,"32,370 ",7.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Early Childhood and Primary) (Honours),Years,N/A
Yes," A good teacher can have a profound effect on a young person's outlook on education, their career aspirations and life generally. If you have a real commitment to helping young people get the most out of their education, a passion for learning, rapport with people and a sense of humour, then you will find teaching a truly rewarding professional career where you can make a difference.",https://www.newcastle.edu.au/degrees/bachelor-of-education-primary-studies,Australia,No,Science,AUD,A,IELTS,,BA,Newcastle,,Yes,4.0,English,No, ,"34,040 ",6.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Primary Studies),Years,N/A
Yes,"If you dream of inspiring young minds and making a difference, you’ll enjoy a rewarding degree, studying primary education and teaching.",https://www.newcastle.edu.au/degrees/bachelor-of-education-primary,Australia,No,Education & Arts,AUD,A,IELTS,,BA,Newcastle,,Yes,4.0,English,No,"Primary school teacher, specialist teacher in primary school, special education, English as a second language teacher, community educator, educational researcher, education publication writer or editor, education policy analyst, education consultant, curriculum developer, educational materials developer, curriculum evaluator, educational administrator","34,040 ",7.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Primary),Years,62.00
Yes,"If you dream of inspiring young minds and making a difference, you’ll enjoy a rewarding degree, studying primary education and teaching.",https://www.newcastle.edu.au/degrees/bachelor-of-education-primary,Australia,No,Education & Arts,AUD,A,IELTS,,BA,Central Coast,,Yes,4.0,English,No,"Primary school teacher, specialist teacher in primary school, special education, English as a second language teacher, community educator, educational researcher, education publication writer or editor, education policy analyst, education consultant, curriculum developer, educational materials developer, curriculum evaluator, educational administrator","34,040 ",7.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Primary),Years,62.00
Yes,"A good teacher can have a profound effect on a young person's outlook on education, their career aspirations and life generally. If you have a real commitment to helping young people get the most out of their education, a passion for learning, rapport with people and a sense of humour, then you will find teaching a truly rewarding professional career where you can make a difference.",https://www.newcastle.edu.au/degrees/bachelor-of-education-primary-honours,Australia,No,Education & Arts,AUD,A,IELTS,,BAH,Newcastle,,Yes,4.0,English,No, ,"32,360 ",7.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Primary) (Honours),Years,N/A
Yes,"A good teacher can have a profound effect on a young person's outlook on education, their career aspirations and life generally. If you have a real commitment to helping young people get the most out of their education, a passion for learning, rapport with people and a sense of humour, then you will find teaching a truly rewarding professional career where you can make a difference.",https://www.newcastle.edu.au/degrees/bachelor-of-education-primary-honours,Australia,No,Education & Arts,AUD,A,IELTS,,BAH,Central Coast,,Yes,4.0,English,No, ,"32,360 ",7.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Primary) (Honours),Years,N/A
Yes," A good teacher can have a profound effect on a young person's outlook on education, their career aspirations and life generally.  If you have a real commitment to helping young people get the most out of their education, a passion for learning, rapport with people and a sense of humour, then you will find teaching a truly rewarding professional career where you can make a difference.",https://www.newcastle.edu.au/degrees/bachelor-of-education-secondary-studies,Australia,No,Science,AUD,A,IELTS,,BA,Newcastle,,Yes,4.0,English,No, ,"33,810 ",6.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Secondary Studies),Years,N/A
Yes,"Secondary teachers have the unique distinction of being able to nurture, teach and empower students at a critical period of their development. Study a degree in secondary education, and be at the forefront of tomorrow, directly influencing and enabling future generations at the cusp of their maturity. Learn how to inspire high school students to make the most their education, and excite their passions for your particular subject area.",https://www.newcastle.edu.au/degrees/bachelor-of-education-secondary,Australia,No,Education & Arts,AUD,A,IELTS,,BA,Newcastle,,Yes,4.0,English,No,"high school teacher (in subject specific areas), special education, English as a second language teacher, health and fitness trainer, community educator, educational researcher, education publication writer or editor, education policy analyst, education consultant, curriculum developer, educational materials developer, curriculum evaluator, educational administrator.","33,810 ",7.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Secondary),Years,62.00
Yes,"Secondary teachers have the unique distinction of being able to nurture, teach and empower students at a critical period of their development. Study a degree in secondary education, and be at the forefront of tomorrow, directly influencing and enabling future generations at the cusp of their maturity. Learn how to inspire high school students to make the most their education, and excite their passions for your particular subject area.",https://www.newcastle.edu.au/degrees/bachelor-of-education-secondary,Australia,No,Education & Arts,AUD,A,IELTS,,BA,Central Coast,,Yes,4.0,English,No,"high school teacher (in subject specific areas), special education, English as a second language teacher, health and fitness trainer, community educator, educational researcher, education publication writer or editor, education policy analyst, education consultant, curriculum developer, educational materials developer, curriculum evaluator, educational administrator.","33,810 ",7.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Secondary),Years,62.00
Yes,"A good teacher can have a profound effect on a young person's outlook on education, their career aspirations and life generally. If you have a real commitment to helping young people get the most out of their education, a passion for learning, rapport with people and a sense of humour, then you will find teaching a truly rewarding professional career where you can make a difference.",https://www.newcastle.edu.au/degrees/bachelor-of-education-secondary-honours,Australia,No,Education & Arts,AUD,A,IELTS,,BAH,Newcastle,,Yes,4.0,English,No, ,"32,250 ",7.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Secondary) (Honours),Years,N/A
Yes,"A good teacher can have a profound effect on a young person's outlook on education, their career aspirations and life generally. If you have a real commitment to helping young people get the most out of their education, a passion for learning, rapport with people and a sense of humour, then you will find teaching a truly rewarding professional career where you can make a difference.",https://www.newcastle.edu.au/degrees/bachelor-of-education-secondary-honours,Australia,No,Education & Arts,AUD,A,IELTS,,BAH,Central Coast,,Yes,4.0,English,No, ,"32,250 ",7.5,Yes,University of Newcastle,,ATAR,,,Years,No, Education (Secondary) (Honours),Years,N/A
Yes,Creativity + science + problem solving = electrical engineering.,https://www.newcastle.edu.au/degrees/bachelor-of-electrical-and-electronic-engineering-honours,Australia,No,Engineering & Built Environment,AUD,A,IELTS,,BAH,Newcastle,,Yes,4.0,English,No,"telecommunications equipment designer, electrical design engineer, automatic systems designer, robotics engineer, biomedical instrumentation designer, renewable energy systems engineer","32,250 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Electrical and Electronic Engineering (Honours),Years,83.30
Yes,"When you study the Bachelor of Engineering Mining Transfer program you learn about the design, supervision and management of coal, mineral and metal mines. Students also study associated mining infrastructure and engineering practices.",https://www.newcastle.edu.au/degrees/bachelor-of-engineering-mining-transfer-program,Australia,No,Engineering & Built Environment,AUD,A,IELTS,,BA,Newcastle,,Yes,4.0,English,No,"open-cut or underground hard-rock mining, mine management, drilling","32,250 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Engineering (Mining Transfer Program),Years,93.55
