Subject_or_Unit,Subject_Objective,Subject_Description,Subject_Link,Non-member_price,Member_price
Assessment of the Older Person,"This unit of study takes a case study approach to clinical assessment to promote a better understanding of the ageing process, theories of ageing and changes in physiology. It is designed to provide the student with the skills and knowledge that will be needed to effectively assess older people. This unit of study includes methods of clinical assessment for older people, evaluation of a variety of assessment tools and the interpretation and integration of assessment findings relevant to care. This unit of study encourages the student to look at the older person in their clinical setting by critically examining their practice and the assessment tools they currently use, reflecting on their current knowledge and skills related to the assessment of older people, and referring to current literature and best practice models to critically evaluate current clinical practice.","
Graduate Certificate in Acute Care Nursing
Graduate Certificate in Aged Care Nursing
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Orthopaedic Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/assessment-of-the-older-person,"2,625.00","2,362.50"
Clinical Issues in Care of the Older Person,"This unit of study is designed to allow students to explore, consolidate and apply clinical knowledge of acute and chronic disorders that affect older people. Common disorders are grouped into a ‘syndromes’ approach referred to as the five ‘I’s: instability, immobility, incontinence, iatrogenesis and impaired cognition and sensory input, in recognition that they cannot be satisfactorily attributed to a condition or body system impairment. Other areas explored include cancer, cardiovascular disease, infections, diabetes and chronic obstructive airways disease. Palliative care is discussed from the perspective of symptom control and the psychosocial aspects of care. In order to meet the needs of older people in acute and residential care, alternative health care delivery models are presented in an attempt to challenge the traditional acute care/disease approach often employed in aged care settings.","
Graduate Certificate in Aged Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/clinical-issues-in-care-of-the-older-person,"2,625.00","2,362.50"
Dementia Care,"This unit of study is designed for registered nurses with a specific interest in, or who work with, clients who have dementia. It provides students with opportunities to develop new knowledge or extend their current knowledge in this challenging specialty. The unit of study explores what is and isn’t dementia, behavioural and psychological symptoms of dementia, and therapeutic approaches to dementia care. Students will also have the opportunity to examine specific issues related to caring for the person with dementia and caring for the carer. Legal and ethical issues related to end-of-life care will also be considered.","
Graduate Certificate in Aged Care Nursing
Graduate Certificate in Community and Primary Health Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/dementia-care,"2,625.00","2,362.50"
Healthy Ageing,"This unit of study is designed to optimise the student’s understanding of what it is like to age in today’s society. It provides an opportunity to critically evaluate attitudes, myths and stereotypes associated with ageing, giving students the opportunity to explore the challenges that an ageing population presents for society and the health care system. The unit of study explores the demographics of the older population, key issues influencing quality of life and independence, and health promotion strategies that contribute to a positive ageing experience. Australian aged care reform, legislation and policy are also discussed.","
Graduate Certificate in Aged Care Nursing
Graduate Certificate in Community and Primary Health Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/healthy-ageing,"2,625.00","2,362.50"
Parkinson’s Care,"This postgraduate unit of study is designed for health professionals who care for people diagnosed with both typical and atypical Parkinson’s Disease and provides students with the opportunity to extend their knowledge of this specialty area. The subject content explores the epidemiology, anatomy, physiology, motor and non-motor clinical features of Parkinson’s Disease. Students will examine contemporary assessment and management techniques, while critiquing therapeutic approaches to care at all stages, with reference to best practice guidelines. Students will examine pertinent psychosocial issues relating to the care of a person diagnosed with Parkinson’s Disease and their carers. Multidisciplinary consultation and referral pathways, legal and ethical issues and advances in care, will also be considered.","Graduate Certificate in Aged Care Nursing
Graduate Certificate in Community and Primary Health Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/parkinsons-care,"2,625.00","2,362.50"
Principles of Palliative Care Nursing,"This unit of study is designed for nurses working in a variety of settings such as general wards, specialist oncology and haematology units, outpatient departments, acute care, palliative care and the community. Content covers symptoms control and clinical management guidelines used in palliative care, including various forms of pain, problems related to respiratory and gastrointestinal systems, wound care and the psychosocial effect on patients. Strategies are explored to develop nursing skills in holistic assessment and planning appropriate evidence based care to enable the best possible quality of life for patients and their families.","Graduate Certificate in Acute Care Nursing
Graduate Certificate in Aged Care Nursing
Graduate Certificate in Breast Cancer Nursing
Graduate Certificate in Cancer Nursing
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Paediatric Nursing Studies
Graduate Certificate in Palliative Care
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/principles-palliative-care-nursing,"2,300.00","2,070.00"
Blood and Marrow Transplantation,"This unit of study relates to haemopoeitic stem cell transplantation (peripheral blood and bone marrow) and includes physiology of transplant immunology, patient and donor transplant work up, review of common transplant protocols, treatment and management strategies. The psychological impact of transplantation is threaded throughout the unit of study and both acute and long-term effects of treatment explored. Content aims to encourage skill development in the student’s own clinical practice, for example, assessing, identifying and pre-empting consequences of treatments, such as neutropaenia, sepsis and graft versus host disease. This unit of study is suitable for nurses working in adult and paediatric specialist haematology and blood and marrow transplant centres, and nurses caring for patients who have undergone haemopoeitic transplantation.","
Graduate Certificate in Cancer Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/blood-and-marrow-transplantation,"2,625.00","2,362.50"
Breast Cancer Treatments,"This unit of study addresses treatment options relevant to individuals diagnosed with breast cancer. Topics localised treatments such as surgery and radiotherapy, systemic treatments include chemotherapy, hormonal therapy, and biological modifiers. Treatment induced side effects will also be addressed. Broader issues related to culture, body image and sexuality will be discussed along with the role of community support and follow-up.","From July 2021 intake, this unit will no longer be available. For further information, please refer to the Graduate Certificate in Breast Cancer Nursing webpage or contact diva.madan@acn.edu.au.",https://www.acn.edu.au/education/single-unit-of-study/breast-cancer-treatments,"2,300.00","2,070.00"
Breast Cancers,"This unit of study is designed for both breast specialist and generalist nurses. The unit of study reviews normal anatomy and physiology of the breast in relation to pathological findings associated with the different types of breast cancer. Global issues of epidemiology, aetiology, risk factors, genetics, and breast cancer screening and diagnostic factors are discussed in detail. Clinical presentation, diagnostic strategies, pathology findings and pathophysiology of specific types of breast cancers are addressed in relation to current treatment guidelines.","From July 2021 intake, this unit will no longer be available. For further information, please refer to the Graduate Certificate in Breast Cancer Nursing webpage or contact diva.madan@acn.edu.au.",https://www.acn.edu.au/education/single-unit-of-study/breast-cancers,"2,300.00","2,070.00"
Chemotherapy and Other Systemic Treatments in Cancer Care,"This unit of study has been designed to develop the nurse’s ability to manage patients receiving various systemic therapies for cancer. Systemic treatment regimens i.e. cytotoxic therapy, biotherapy, targeted therapies, hormonal therapy and supportive therapies. Integral to patient care is an understanding of the complex physiological and psychological effects of diagnosis and treatment and the legal and ethical consideration of these treatment regimes. This unit of study will meet the needs of nurses who care for cancer patients in a variety of practice settings such as general wards, outpatient departments, acute care, palliative care and community, as well as specialist oncology, haematology and paediatric units.","
Graduate Certificate in Breast Cancer Nursing
Graduate Certificate in Cancer Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/chemotherapy-and-other-systemic-treatments-in-cancer-care,"2,300.00","2,070.00"
Continuum of Care in Breast Cancer Nursing,"Nurses are pivotal to providing a continuum of patient care and require knowledge and skills to work within a multidisciplinary team caring for patient’s once their initial intense treatments have completed. This unit of study explores the specialist breast care nurses’ role in the management of follow-up care, survivorship and the impact and care required if breast cancer reoccurs. It is designed to equip nurses with knowledge about metastatic breast disease and addresses communication and psychological issues In the advanced stage of breast cancer care.","From July 2021 intake, this unit will no longer be available. For further information, please refer to the Graduate Certificate in Breast Cancer Nursing webpage or contact diva.madan@acn.edu.au.",https://www.acn.edu.au/education/single-unit-of-study/continuum-of-care-in-breast-cancer-nursing,"2,300.00","2,070.00"
Foundations of Haematology Nursing,"This unit of study is designed to meet the learning needs of nurses caring for adults and children with haematological disorders in a variety of clinical areas, such as general wards, cancer care, palliative care and the community. The content aims to broaden the student’s theoretical knowledge of the physiological principles of haemopoiesis, immune function and coagulation which underpin most haematological disorders and diseases. The pathological processes underlying common haematological disorders such as anaemias, coagulation disorders and bone marrow malfunction are examined and contemporary management strategies explored. Students are encouraged to evaluate their nursing practice against best practice guidelines and consider specific patient issues relating to diagnosis of chronic/life threatening diseases.","
Graduate Certificate in Cancer Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/foundations-of-haematology-nursing,"2,625.00","2,362.50"
Understanding Data in Health Care,"This unit introduces students to the paradigm of data in a digital age and the journey towards wisdom and understanding. Students will learn how this progression is centred on the existence of accurate, relevant and appropriately collected and organised data. Students will explore data as complex and heterogeneous and gain an understanding of new practices and technologies impacting on the ethical and legal collection of personal data in health care.","Graduate Certificate in Acute Care Nursing
Graduate Certificate in Cancer Nursing
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Orthopaedic Nursing
Graduate Certificate in Paediatric Nursing Studies
Graduate Certificate in Perioperative Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/understanding-data-health-care,"2,625.00","2,362.50"
Child Development in the Family Context,"Child and family health nurses promote the optimal development of children through a partnership approach and the provision of anticipatory guidance to parents; therefore, knowledge of child development helps in the provision of client-centred health promotion strategies leading to optimum child health outcomes.","Graduate Certificate in Child and Family Health Nursing
Graduate Certificate in Community and Primary Health Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/child-development-in-the-family-context,"3,085.00","2,776.50"
Family and Child Health,"Students also explore tools for assessment of families, critical analysis of family theory and models of care that provide a framework for child and family health nursing practice. Students are introduced to the social determinants of health and the concept of working in partnership with families, government, non-government and support agencies to facilitate the transition to parenting, promote resilience, empowerment and community connectedness. Current government guidelines, directives, initiatives and research are examined within the context of child and family health nursing.","Graduate Certificate in Child and Family Health Nursing
Graduate Certificate in Paediatric Nursing Studies
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/family-and-child-health,"3,085.00","2,776.50"
Infant and Child Nutrition and Feeding,"The unit of study explores breastfeeding and lactation, formula feeding, solids and other aspects of infant and child nutrition and investigates international, national and state policies and best practice recommendations relating to infant and child nutrition. Students will build on undergraduate knowledge of breast anatomy and lactation physiology and apply this to the facilitation of the breastfeeding woman and her family. Students will be encouraged to develop a deeper understanding of the social and cultural complexities of the breastfeeding process to provide insight into the underlying attitudes and values likely to influence Infant feeding and nutritional outcomes.","Graduate Certificate in Child and Family Health Nursing
Graduate Certificate in Paediatric Nursing Studies
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/infant-and-child-nutrition-and-feeding,"2,300.00","2,070.00"
Therapeutic Communication,"Evidence has suggested that ineffective communication at all levels of the healthcare system has led to poor patient outcomes, a decrease in job satisfaction and inefficiencies in our health system. This unit of study aims to introduce students to the advanced communication and interpersonal skills required in today’s contemporary health environment. While undertaking this unit students are encouraged to examine current research into effective and ineffective communication practices and to explore and reflect on their own responses to challenging situations.","Graduate Certificate in Acute Care Nursing
Graduate Certificate in Breast Cancer Nursing
Graduate Certificate in Cancer Nursing
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Orthopaedic Nursing
Graduate Certificate in Paediatric Nursing Studies
Graduate Certificate in Palliative Care
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/therapeutic-communication,"2,300.00","2,070.00"
Audiometry Nursing,"This unit of study is designed to facilitate the development of the audiometry nurse’s understanding of the hearing process and client assessment. Content covered within this unit of study includes the anatomy, physiology and pathology of hearing, alterations to hearing, assessment and monitoring hearing. The unit of study is designed to meet the needs of audiometry nurses working within a variety of settings and caring for clients across the lifespan.","
Graduate Certificate in Community and Primary Health Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/audiometry-nursing,"2,625.00","2,362.50"
Chronic and Complex Care,"This unit of study explores the impetus for change in conventional health service delivery and the issues related to providing health services for people with chronic disease. Nurses manage patients with chronic and complex issues and, in doing so, need to develop their knowledge and skills in this area. Students explore issues in the management of clients in their care by critiquing appropriate models of care, patient assessment and management. Themes in this unit of study refer to epidemiology, models of care, collaborative case management, assessment (principles and application), patient management, disease progression, medication management, enhanced primary care, as well as bioethical and psychosocial issues.","Graduate Certificate in Community and Primary Health Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/chronic-and-complex-care,"2,300.00","2,070.00"
Clinical Issues in Audiometry Nursing,"This unit of study is designed for nurses working in the audiometry setting. The focus of this unit of study is on integration of theory to practice and the competencies required to work as an audiometry nurse. Concepts covered includes communication, professional standards, patient education and hearing promotion. This unit of study involves the completion of 90 theoretical hours in the DE mode and 60 hours of clinical practice.","
Graduate Certificate in Community and Primary Health Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/clinical-issues-in-audiometry-nursing,"3,690.00","3,321.00"
Continence Management,Students are referred to current literature and best practice models to critically evaluate current clinical practice.,"
Graduate Certificate in Aged Care Nursing
Graduate Certificate in Community and Primary Health Care
Graduate Certificate in Stomal Therapy Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/continence-management,"3,690.00","3,321.00"
Foundational Perspectives of Women’s Health,"This unit of study explores the position and role of women from sociological, psychological and political perspectives. By reviewing the issues concerning the position of women, feminism (including the historical and current views) and the discourses surrounding women’s health, the student will have the opportunity to examine issues of access and equity for specific groups of women including women from diverse cultural backgrounds.","
Graduate Certificate in Community and Primary Health Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/foundational-perspectives-of-womens-health,"2,625.00","2,362.50"
Leadership and Professional Practice,"The purpose of this unit of study is to explore the professional role of nurses and midwives as well as providing opportunities to develop your clinical practice and enhance competency. Students will gain an understanding of advanced nursing practice within the context of contemporary nursing and examine the role of leadership, reflection, quality, research, evidence based practice and the professional development of self and others. By undertaking this unit of study you will develop your clinical skills through an analysis of best practice principles to help you develop your clinical decision-making skills to better manage the needs of clients and their families.","Graduate Certificate in Acute Care Nursing
Graduate Certificate in Aged Care Nursing
Graduate Certificate in Breast Cancer Nursing
Graduate Certificate in Cancer Nursing
Graduate Certificate in Child and Family Health Nursing
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Cosmetic Nursing
Graduate Certificate in Critical Care Nursing
Graduate Certificate in Dermatology Nursing
Graduate Certificate in Drug and Alcohol Nursing
Graduate Certificate in Neonatal Care
Graduate Certificate in Orthopaedic Nursing
Graduate Certificate in Paediatric Nursing Studies
Graduate Certificate in Palliative Care
Graduate Certificate in Stomal Therapy Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/leadership-and-professional-practice,"2,625.00","2,362.50"
Practice Nursing,"Practice nurses require diverse and specialist skills and knowledge so they can work collaboratively in the general practice environment. The role of the practice nurse is expanding with new models of care building on their knowledge and skills in primary health care, care coordination and supporting patients with chronic disease. This unit of study will explore the professional issues that impact on the practice nurse, understanding of funding arrangements, the use of information management systems and the provision of clinical care using evidence based guidelines and frameworks including patient and carer education, and preventative health.","Graduate Certificate in Community and Primary Health Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/practice-nursing,"2,625.00","2,362.50"
Primary Health Nursing,"Primary health care encompasses many diverse areas of practice for nurses – for example community nursing, occupational health, general practice and community outreach programs. This unit of study will examine the nurses’ role in primary health care through exploring the students’ application of the social determinants of health in the context of the community use and social and government policy responses. Collaborative models, stakeholder participation and health promotion activities are explored. This unit of study explores the professional issues that impact on the primary health nurse, the use of information management and the provision of clinical care using evidence based guidelines and frameworks.","Graduate Certificate in Community and Primary Health Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/primary-health-nursing,"2,625.00","2,362.50"
Emergency Nursing,"This unit of study is designed to explore issues specific to nursing practice in the emergency setting. Topics explored in this unit of study include triage, trauma management, medical and surgical presentations, mental health emergencies, disaster management, and stabilisation and transfer.","Graduate Certificate in Critical Care Nursing
GC single unit of study (single unit of study only available for graduates of Graduate Certificate in Critical Care Nursing or equivalent)",https://www.acn.edu.au/education/single-unit-of-study/emergency-nursing,"2,300.00","2,070.00"
Intensive Care Nursing,"This unit of study explores advanced assessment and management of patients requiring intensive care nursing. Topics explored in this unit of study include multi-organ dysfunction syndrome, infection control issues in intensive care, advanced concepts in haemodynamic monitoring, further exploration of mechanical ventilation principles and advanced strategies, advanced cardiac management, management of major trauma and renal replacement therapies.","Graduate Certificate in Critical Care Nursing
GC single unit of study (single unit of study only available for graduates of Graduate Certificate in Critical Care Nursing or equivalent)",https://www.acn.edu.au/education/single-unit-of-study/intensive-care-nursing,"2,300.00","2,070.00"
Paediatric Emergency Nursing,"This unit of study has been designed to enhance the specialist knowledge and skills required by nurses who care for critically ill or injured paediatric patients presenting to the emergency department. Themes covered within the unit of study include; an introduction to professional practice for emergency nurses, triage and physical assessment, common medical presentations, trauma, mental health presentations and the special needs of infants in the emergency department. This unit of study challenges students to reflect on, and develop their nursing practice using contemporary evidence and industry endorsed clinical practice guidelines.","Graduate Certificate in Paediatric Nursing Studies
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/paediatric-emergency-nursing,"2,300.00","2,070.00"
Paediatric Intensive Care Nursing,"This unit of study has been designed to explore issues specific to nursing practice in a specialist paediatric intensive care setting. Topics explored in this unit of study include advanced concepts in haemodynamic monitoring, ventilation, analgesia and sedation, management of complex cardiac and neurological patients, renal replacement therapies and multi-organ dysfunction syndrome. The unit of study maintains a focus on the collaborative relationship between the nurse and the family/significant others in providing care to the critically ill infant, child or adolescent.","Graduate Certificate in Paediatric Nursing Studies
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/paediatric-intensive-care-nursing,"2,300.00","2,070.00"
Principles of Critical Care Nursing,"This unit of study is designed to provide students with an in depth understanding of the nature of critical illness and the role of a nurse in meeting the needs of patient with life threatening conditions. The unit of study allows the students to acquire advanced clinical knowledge that underpins the provision of expert care for patients in the critical care setting. The students will explore major system alternations and multi-organ failure characteristic of critical illness. Problem solving through critical thinking is emphasised in assessment and prioritising patients’ needs. Best practice guidelines are used to inform nursing interventions in order to optimise health outcomes for patients, families and the community.","Graduate Certificate in Critical Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/principles-of-critical-care-nursing,"2,300.00","2,070.00"
Applied Dermatological Anatomy and Physiology,"This unit of study is designed for registered nurses whom are working or wish to work in a variety of dermatology and cosmetic nursing environments. Client consultation and assessment and clinical manifestations of clients requiring treatment are examined. Adult learning principles are used to address topics such as advanced applied knowledge of dermatological anatomy and physiology, holistic assessment, chronic disease processes and patient education.","
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Cosmetic Nursing
Graduate Certificate in Dermatology Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/applied-dermatological-anatomy-physiology,"3,085.00","2,776.50"
Foundational Concepts in Drug and Alcohol Nursing,"This unit of study is designed to provide students with an understanding of the foundational concepts of drug and alcohol nursing. The concepts of harm minimisation and the legal and ethical dimensions of caring for clients with substance use disorders are explored. This unit of study also examines the main drugs that may lead to dependence, along with assessment and screening for alcohol and other drugs related harms. You will have the opportunity to build on existing knowledge by problem solving through reflection and critical evaluation of your current practice. Other concepts explored in this subject include stigma, and the importance of language and communication when caring for patients seeking care for drug and alcohol use.","
Graduate Certificate in Drug and Alcohol Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/foundational-concepts-drug-alcohol-nursing,"2,300.00","2,070.00"
Public and Primary Health Care: Drug and Alcohol,"In this unit of study students examine the social determinants of health in the context of drug and alcohol use and social and government policy responses. Collaborative models, stakeholder participation and health promotion activities are explored. Students gain an overarching view of drug and alcohol problems and public policy and health approaches and can debate many of the broader ethical questions raised.","
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Drug and Alcohol Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/public-and-primary-health-drug-and-alcohol,"2,300.00","2,070.00"
Principles of Infection Control,"This unit of study aims to provide a comprehensive overview of the importance of infection prevention and control within the workplace. Students examine the issues related to legislation, quality, prevention, transmission and management of infections. Students will explore some of the specific issues encountered when planning strategies to minimise potential transmission between patients, staff and all personnel involved in the health care system. The unit of study also examines infection prevention and control principles at both local and organisational levels focusing on the process of achieving positive quality health outcomes.","
Graduate Certificate in Acute Care Nursing
Graduate Certificate in Aged Care Nursing
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Perioperative Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/principles-of-infection-control,"2,300.00","2,070.00"
Financial Management,"This unit of study is designed to form the basis for a sound understanding of financial management in health care. Funding arrangements in the Australian health care system, including economic principles and decision-making, and the implications of scarce resources, are outlined. Financial reports and cost centre management are explored. The course also provides comprehensive coverage of the impact and place of casemix in contemporary financial management and the principles and practice of budgeting, incorporating casemix-based data and information. The aged care sector is also discussed, providing a sound overview of financial management in health care generally.","
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Leadership and Management
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/financial-management,"2,300.00","2,070.00"
Human Resource Management,"This unit of study is designed to provide comprehensive coverage of specific and essential aspects of human resource management. Topics include managing people and employee relations, performance management, recruitment and selection of staff, training and development. This unit of study also covers dealing with grievance and disciplinary matters, conflict negotiation, dispute resolution and managing workforce diversity. Relevant legislative requirements such as equal employment opportunity and anti-discrimination are addressed.","
Graduate Certificate in Leadership and Management
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/human-resource-management,"2,300.00","2,070.00"
Introduction to Leadership and Management,"This unit of study introduces students to leadership and management in the modern Australian health care system. Theoretical ideas around management, leadership, and organisations are introduced. Students will reflect on organisational culture and motivation. The student will be asked to apply theoretical ideas to practice and to the workplace through practical exercises. The opportunity for deeper learning occurs as students study contemporary economic, social and political issues that influence the Australian health care system.","
Graduate Certificate in Leadership and Management
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/introduction-to-leadership-and-management,"2,300.00","2,070.00"
Quality,"This unit of study is designed for registered nurses as an introduction to quality management. The promotion and maintenance of quality is vital to all aspects of health care. Specific emphasis is given to the difficulties in managing quality in the Australian health care environment and to the variety of methods and practices that can be used in quality management. The unit of study focuses on improving the student’s ability to initiate and manage creative and appropriate interdisciplinary, organisation-wide quality in action processes.","
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Leadership and Management
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/quality,"2,300.00","2,070.00"
Applied Neonatal Physiology,"This is the foundational neonatal unit of study. The purpose of this unit of study is for students to develop greater understanding of normal physiology which will in turn facilitate the development of advanced clinical assessment skills. This is achieved by providing essential grounding in embryological and neonatal development and physiology. Students are guided through the processes involved in fetal to neonatal transition and adaptation. The concepts of oxygenation, thermoregulation and metabolism are discussed in relation to the early neonatal period. These concepts underpin the neonatal clinician’s ability to interpret clinical assessment findings for both term and pre-term infants.","
Graduate Certificate in Neonatal Care
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/applied-neonatal-physiology,"2,300.00","2,070.00"
