Level_Code,University,City,Course,Faculty,Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course Delivery Mode,FREE TAFE
DIP,Box Hill Institute,Melbourne,Diploma of Business, Business & Commerce ,"4,497",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/diploma-of-business-bs525-d/,English,D,Our business course is ideal for those looking for general business skills to help them gain employment in management roles in a variety of industries.  Your studies will cover:  marketing managing budgets conducting projects a range of relevant management subjects  Our business course also allows you to study for a qualification that offers a pathway to further study.    Like Box Hill Institute - Business & Management on Facebook,"After successful completion of our business course, you may apply for employment opportunities such as a being a:  manager program consultant program coordinator marketing coordinator",Australia,,Yes,No,Yes,No,,Normal,No
CERTII,Box Hill Institute,Melbourne,Certificate II in Animal Studies, Animal Studies ,Secondary School,AUD,Years,,,No,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-ii-in-animal-studies-as200-vetis/,English,A,"This program provides you with the basic skills and knowledge in order to become an animal carer. You will learn how to care for a variety of animals and provide information on companion animals, products and services. You will gain the practical skills and basic knowledge you need for entry–level work in the animal care industry. You will learn how to assist with general animal care, provide food and water for animals and follow occupational health and safety procedures in the workplace. You will undertake work in our animal facility throughout the year giving you the opportunity to work with mice, rats, guinea pigs, rabbits, fish and reptiles. You will also have dogs and cats regularly attend class for practical training.    Follow Box Hill Institute - Animal Studies on Instagram","This course may provide you with entry level employment in animal rescue centres, pet retail shops, welfare organisations and veterinary clinics, etc.",Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTII,Box Hill Institute,Melbourne,Certificate II in Animal Studies, Animal Studies ,Secondary School,AUD,Years,,,No,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-ii-in-animal-studies-as200-vetis/,English,A,"This program provides you with the basic skills and knowledge in order to become an animal carer. You will learn how to care for a variety of animals and provide information on companion animals, products and services. You will gain the practical skills and basic knowledge you need for entry–level work in the animal care industry. You will learn how to assist with general animal care, provide food and water for animals and follow occupational health and safety procedures in the workplace. You will undertake work in our animal facility throughout the year giving you the opportunity to work with mice, rats, guinea pigs, rabbits, fish and reptiles. You will also have dogs and cats regularly attend class for practical training.    Follow Box Hill Institute - Animal Studies on Instagram","This course may provide you with entry level employment in animal rescue centres, pet retail shops, welfare organisations and veterinary clinics, etc.",Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTII,Box Hill Institute,Melbourne,Certificate II in Animal Studies, Animal Studies ,Secondary School,AUD,Years,,,No,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-ii-in-animal-studies-as200-vetis/,English,A,"This program provides you with the basic skills and knowledge in order to become an animal carer. You will learn how to care for a variety of animals and provide information on companion animals, products and services. You will gain the practical skills and basic knowledge you need for entry–level work in the animal care industry. You will learn how to assist with general animal care, provide food and water for animals and follow occupational health and safety procedures in the workplace. You will undertake work in our animal facility throughout the year giving you the opportunity to work with mice, rats, guinea pigs, rabbits, fish and reptiles. You will also have dogs and cats regularly attend class for practical training.    Follow Box Hill Institute - Animal Studies on Instagram","This course may provide you with entry level employment in animal rescue centres, pet retail shops, welfare organisations and veterinary clinics, etc.",Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTII,Box Hill Institute,Melbourne,Certificate II in Animal Studies, Animal Studies,"1,148",AUD,Years,15.0,Weeks,Yes,Yes,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-ii-in-animal-studies-as260-d/,English,D,"Turn your love of animals into a career with our 15 week animal studies course where you'll gain a practical understanding of daily animal care duties including feeding, hygiene and housing, grooming, and observing and ensuring animal safety and wellbeing. We deliver this course in partnership with RSPCA. Students learn from, and are assessed by, experienced and knowledgeable teaching staff from both Box Hill Institute and RSPCA Burwood.  This course is an excellent way to fast track any animal industry career.  It provides general training for those wanting to enter the animal care industry or those already working who want to further enhance their knowledge in areas such as:  customer service animal health animal first aid animal behaviour nutrition hygiene grooming provision of product and service information  Practical work will involve working hands on with a variety of animals including dogs, cats, birds, rabbits, sheep, guinea pigs, rats, goats, horses and cows.    Follow Box Hill Institute - Animal Studies on Instagram","Once you've completed our animal studies course you may find employment as an animal care or shelter attendant, kennel hand, cattery or pet shop attendant, or assistant dog groomer.",Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Animal Studies (Specialising in Animal Care), Animal Studies,"1,062",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-animal-studies-specialising-in-animal-care-as330-d/,English,D,"Would you like to look after all creatures, great and small? If so, you can use our animal studies course to get started in the animal care industry. We’ve also designed our course to give you exposure to companion animal services. In our animal studies course you’ll learn the basic skills and knowledge important for animal care including:  animal health management nutrition hygiene　 specific animal-care communication skills  We also recommend you complete the optional 5 day work placement to gain practical experience.    Follow Box Hill Institute - Animal Studies on Instagram",Our animal care course will equip you with the skills to apply for a range of animal-care employment opportunities in businesses such as:  veterinary clinics pet shops boarding facilities shelters,Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Animal Studies (Specialising in Animal Care), Animal Studies,"1,062",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-animal-studies-specialising-in-animal-care-as330-d/,English,D,"Would you like to look after all creatures, great and small? If so, you can use our animal studies course to get started in the animal care industry. We’ve also designed our course to give you exposure to companion animal services. In our animal studies course you’ll learn the basic skills and knowledge important for animal care including:  animal health management nutrition hygiene　 specific animal-care communication skills  We also recommend you complete the optional 5 day work placement to gain practical experience.    Follow Box Hill Institute - Animal Studies on Instagram",Our animal care course will equip you with the skills to apply for a range of animal-care employment opportunities in businesses such as:  veterinary clinics pet shops boarding facilities shelters,Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Animal Studies (Specialising in Veterinary Nurse Skills), Animal Studies,"1,062",AUD,Years,1.0,Years,Yes,Yes,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-animal-studies-specialising-in-veterinary-nurse-skills-as340-d/,English,D,"Kick start your career in animal healthcare by completing this animal studies course that specialises in Veterinary Nurse Skills. This course is an excellent way to fast track your veterinary nursing career as it is a prerequisite for the Certificate IV in Veterinary Nursing.  In this course you will aquire knowledge in areas such as veterinary reception duties, veterinary clinical routines, nutrition, infection control, patient husbandry, and observing and ensuring animal safety and wellbeing. Students in this course gain practical experience working hands on with a variety of animals including dogs, cats, rabbits, guinea pigs, rats, and mice. You will learn from knowledgeable teaching staff who are all current veterinary industry professionals.       Follow Box Hill Institute - Animal Studies on Instagram",After successful completion of our animal studies course specialising in veterinary nurse skills you can apply for a range of professional animal care roles including:  student veterinary nurse (in training) animal assistant shelter or welfare attendant pet shop retail attendant boarding kennel or cattery attendant pet groomer,Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Animal Studies (Specialising in Veterinary Nurse Skills), Animal Studies,"1,062",AUD,Years,1.0,Years,Yes,Yes,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-animal-studies-specialising-in-veterinary-nurse-skills-as340-d/,English,D,"Kick start your career in animal healthcare by completing this animal studies course that specialises in Veterinary Nurse Skills. This course is an excellent way to fast track your veterinary nursing career as it is a prerequisite for the Certificate IV in Veterinary Nursing.  In this course you will aquire knowledge in areas such as veterinary reception duties, veterinary clinical routines, nutrition, infection control, patient husbandry, and observing and ensuring animal safety and wellbeing. Students in this course gain practical experience working hands on with a variety of animals including dogs, cats, rabbits, guinea pigs, rats, and mice. You will learn from knowledgeable teaching staff who are all current veterinary industry professionals.       Follow Box Hill Institute - Animal Studies on Instagram",After successful completion of our animal studies course specialising in veterinary nurse skills you can apply for a range of professional animal care roles including:  student veterinary nurse (in training) animal assistant shelter or welfare attendant pet shop retail attendant boarding kennel or cattery attendant pet groomer,Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Captive Animals, Animal Studies,"1,385",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-captive-animals-cz300-d/,English,D,"Are you working as an animal keeper within the captive animal industry and looking to upskill? Whether you’re working as a volunteer or in paid employment in zoos, wildlife parks, public aquariums or other facilities that house captive animals, our captive animals' course will enhance your understanding of the industry. You’ll study and complete assessments online, and via a series of compulsory practical workshops held throughout the year.    Follow Box Hill Institute - Animal Studies on Instagram",Successfully completing our captive animals course can lead to a range of professional roles including being a:  trainee keeper pre-trade keeper assistant keeper animal care attendant wildlife animal carer,Australia,,Yes,No,Yes,No,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Equine Studies, Animal Studies ,Secondary School,AUD,Years,2.0,Years,No,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-equine-studies-eq300-vetis/,English,A,"This VCE VET Program is designed as an introduction to the equine industry. In the first year of the course you will learn the skills and knowledge to work safely with horses including basic horse husbandry and care, understanding equine behaviour, daily work routines and equine anatomy. In second year you will learn how to identify and monitor the signs of common illness and injury in horses; understand basic horse physiology and the impact of illness and injury on horses; identify conformation in horses and develop the ability to use appropriate conformation  terminology to describe the relationship between conformation, movement and function; and gain understanding of how to implement feeding programs, monitor the quality of feed, feed supplements and individual feeding habits of horses.","After successful completion, you may wish to apply for employment opportunities as an animal attendant, stable or stud hand, horse breeder, veterinary nurse or riding coach. Other possible industries are horse racing and retail.",Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Equine Studies, Animal Studies ,Secondary School,AUD,Years,2.0,Years,No,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-equine-studies-eq300-vetis/,English,A,"This VCE VET Program is designed as an introduction to the equine industry. In the first year of the course you will learn the skills and knowledge to work safely with horses including basic horse husbandry and care, understanding equine behaviour, daily work routines and equine anatomy. In second year you will learn how to identify and monitor the signs of common illness and injury in horses; understand basic horse physiology and the impact of illness and injury on horses; identify conformation in horses and develop the ability to use appropriate conformation  terminology to describe the relationship between conformation, movement and function; and gain understanding of how to implement feeding programs, monitor the quality of feed, feed supplements and individual feeding habits of horses.","After successful completion, you may wish to apply for employment opportunities as an animal attendant, stable or stud hand, horse breeder, veterinary nurse or riding coach. Other possible industries are horse racing and retail.",Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Equine Studies, Animal Studies ,Secondary School,AUD,Years,2.0,Years,No,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-equine-studies-eq300-vetis/,English,A,"This VCE VET Program is designed as an introduction to the equine industry. In the first year of the course you will learn the skills and knowledge to work safely with horses including basic horse husbandry and care, understanding equine behaviour, daily work routines and equine anatomy. In second year you will learn how to identify and monitor the signs of common illness and injury in horses; understand basic horse physiology and the impact of illness and injury on horses; identify conformation in horses and develop the ability to use appropriate conformation  terminology to describe the relationship between conformation, movement and function; and gain understanding of how to implement feeding programs, monitor the quality of feed, feed supplements and individual feeding habits of horses.","After successful completion, you may wish to apply for employment opportunities as an animal attendant, stable or stud hand, horse breeder, veterinary nurse or riding coach. Other possible industries are horse racing and retail.",Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Pet Grooming, Animal Studies,"2,168",AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-pet-grooming-pg300-d/,English,D,"Is taking care of our four-legged friends your calling? If so, our pet grooming course provides comprehensive training in all the fundamental aspects of pet grooming services. You can study this course as an on campus student - or as a trainee.  You’ll gain the skills and knowledge to work as a pet grooming attendant, be confident with salon reception and housekeeping duties, and learn how to successfully bath, brush, trim and perform other grooming services for domestic pets, usually dogs but sometimes also cats. In practical and theory classes you’ll learn about:  basic animal behaviour animal hygiene workplace health and safety infection control techniques  You’ll also develop excellent customer service skills and have the ability to demonstrate a high standard of cleanliness and professionalism.    Follow Box Hill Institute - Animal Studies on Instagram","Successful completion of our pet grooming course will open up a range of opportunities in pet retail shops, grooming salons and boarding facilities; animal rescue centres and training facilities; and veterinary clinics. Once you have enough professional experience, you may even decide to open and operate your own pet grooming business.",Australia,,Yes,No,Yes,No,,Normal,No
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Companion Animal Services, Animal Studies,"1,784",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iv-in-companion-animal-services-ca400-d/,English,D,"Caring for and training our furry friends can be a fun and rewarding career. In our companion animal course you’ll learn how to provide daily care for companion animals or pets. As you learn about animal behaviour and training, health and well-being, and nutrition and enrichment, you’ll also:  acquire practical handling skills across a range of different species develop essential understanding of animal welfare, and workplace health and safety procedures within an animal care environment gain the knowledge to enter the companion animal industry in a variety of professional roles in basic training facilities, animal shelters, boarding facilities, pet shops and other companion animal organisations     Follow Box Hill Institute - Animal Studies on Instagram","Our companion animal course positions you to apply for a range of employment opportunities in pet retail, pet boarding facilities, retail aquariums, animal rescue centres, animal training facilities and welfare organisations. Our course will also provide you with the foundation skills required for other animal-related industries such as animal technology and veterinary nursing.",Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Companion Animal Services, Animal Studies,"1,784",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iv-in-companion-animal-services-ca400-d/,English,D,"Caring for and training our furry friends can be a fun and rewarding career. In our companion animal course you’ll learn how to provide daily care for companion animals or pets. As you learn about animal behaviour and training, health and well-being, and nutrition and enrichment, you’ll also:  acquire practical handling skills across a range of different species develop essential understanding of animal welfare, and workplace health and safety procedures within an animal care environment gain the knowledge to enter the companion animal industry in a variety of professional roles in basic training facilities, animal shelters, boarding facilities, pet shops and other companion animal organisations     Follow Box Hill Institute - Animal Studies on Instagram","Our companion animal course positions you to apply for a range of employment opportunities in pet retail, pet boarding facilities, retail aquariums, animal rescue centres, animal training facilities and welfare organisations. Our course will also provide you with the foundation skills required for other animal-related industries such as animal technology and veterinary nursing.",Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No
CERTII,Box Hill Institute,Melbourne,Certificate II in Printing and Graphic Arts (General), Art & Design,0,AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-ii-in-printing-and-graphic-arts-general-ip215-d/,English,D,"This course in printing and graphic arts is for those keen to enter the printing and design industry with a focus on digital print. You'll be equipped with entry level skills and knowledge leading to career outcomes in a range of employable avenues such as digital/desktop publishing, signage, commercial printing and packaging with opportunities to continue your studies in related fields.     Over a series of weeks you will undertake simulated industry projects, providing you with a hands on approach from experienced industry professionals enabling you to develop an impressive portfolio to show employers. You will gain the skills to design, layout materials, proofread and engage with commercial printers to meet briefs. On completing the course, you will also gain credits towards a traineeship or secure an apprenticeship.    Like Box Hill Institute - Design on Facebook    Follow Box Hill Institute - Design on Instagram","After successful completion, you may apply for career opportunities in the print sector such as digital/desktop publishing, signage, commercial printing and packaging.",Australia,Yes,Yes,Yes,Yes,Yes,,Normal,Yes
CERTIII,Box Hill Institute,Melbourne,Certificate III in Design Fundamentals, Art & Design ,Secondary School,AUD,Years,6.0,Days,No,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-design-fundamentals-ca375-vetis/,English,A,"Build a strong foundation in design skills and get a head start in your tertiary design studies with credit into your Certificate IV pathway program. The training program covers the basics of design that can be applied to any design area including graphic design, interior design and visual merchandising.","This entry level qualification provides the skills and knowledge to apply for employment as a junior at a graphic design, marketing or media business.",Australia,,Yes,No,Yes,No,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Design Fundamentals, Art & Design ,Secondary School,AUD,Years,6.0,Days,No,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-design-fundamentals-ca375-vetis/,English,A,"Build a strong foundation in design skills and get a head start in your tertiary design studies with credit into your Certificate IV pathway program. The training program covers the basics of design that can be applied to any design area including graphic design, interior design and visual merchandising.","This entry level qualification provides the skills and knowledge to apply for employment as a junior at a graphic design, marketing or media business.",Australia,,Yes,No,Yes,No,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Interior Decoration Retail Services, Art & Design ,Secondary School,AUD,Years,6.0,Days,No,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-interior-decoration-retail-services-ms318-vetis/,English,A,"Explore the interior decoration industry in a retail environment by undertaking this course. It will be delivered through a variety of interactive class activities. You will work in groups and individually on activities weekly that build towards the completion of a portfolio of visual work. Investigative tasks will be used to immerse you in the introduction to interior design elements, such as materials and finishes, lighting, furniture and accessories; design industry and its value in society and the relevance of history in contemporary design Practical tasks (entry–level) will include exploration of the following design essentials:  colour theory ergonomics manual drawing and computer aided design preparation of a mood board to communicate ideas use of measuring devices engage and advise customers WHS implications of interior decoration effects",This entry level qualification provides students with interior decoration knowledge and skills in the day to day operations of a retail/department store and the customer service skills in providing customers with interior decoration advice.,Australia,,Yes,No,Yes,No,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Screen and Media, Art & Design ,Secondary School,AUD,Years,6.0,Days,No,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iii-in-screen-and-media-ca305-vetis/,English,A,"If you want to explore a career in film and media or become a skilled operator in the photography, film television, radio, or digital media industries, this course gives you an excellent start. You will develop basic skills to capture photographic images, edit video and sound and create 3D digital models.  In the second year, you will enhance your skills by exploring digital animations and interactivity. You will work on a project to create your own short animated film.","Learn the skills to become a lighting assistant, or interactive media or production assistant.",Australia,,Yes,No,Yes,No,,Normal,No
