Face_to_Face,Prerequisite_1,Course,Website,Prerequisite_3_grade_3,Course_Lang,Distance,Prerequisite_2,Blended,Prerequisite_1_grade_1,Career_Outcomes/path,Part_Time,Faculty,Local_Fees,Remarks,City,Availability,Full_Time,University,Online,Level_Code,Description,Int_Fees,Currency_Time,Country,Prerequisite_3,Prerequisite_2_grade_2,Currency,Offline,Duration_Time,Duration
Yes,ATAR,Diploma of Interior Design and Decoration,https://www.billyblue.edu.au/courses/interiors/diploma-of-interior-design-and-decoration,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Stylist, Soft Furnishings Consultant, Visual Merchandiser, Events & Installation Designer, In-House Interior Designer",Yes,College of Design,,,Brisbane,A,Yes,Billy Blue College,Yes,DIP,"Open the door to a whole new world of turning rooms into statements – whether that statement is “There are good chairs and there are bad chairs” or “this is a place to recharge with mindfulness eating”. When you join our interior decoration community of diploma students, lecturers and industry, you’re setting yourself up to acquire a technical base of design principles and practice. Explore a world of bespoke decoration through colour and texture, learn how to illustrate your ideas before turning them into reality and where to find the best cushions to redefine retro for the future. You’ll also fill your brain with information on the history of built environment design – which will make you both useful and interesting to the design profession, all before you even graduate.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,5.5,AUD,Yes,Year,1.0
Yes,ATAR,Diploma of Interior Design and Decoration,https://www.billyblue.edu.au/courses/interiors/diploma-of-interior-design-and-decoration,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Stylist, Soft Furnishings Consultant, Visual Merchandiser, Events & Installation Designer, In-House Interior Designer",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,DIP,"Open the door to a whole new world of turning rooms into statements – whether that statement is “There are good chairs and there are bad chairs” or “this is a place to recharge with mindfulness eating”. When you join our interior decoration community of diploma students, lecturers and industry, you’re setting yourself up to acquire a technical base of design principles and practice. Explore a world of bespoke decoration through colour and texture, learn how to illustrate your ideas before turning them into reality and where to find the best cushions to redefine retro for the future. You’ll also fill your brain with information on the history of built environment design – which will make you both useful and interesting to the design profession, all before you even graduate.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,5.5,AUD,Yes,Year,1.0
Yes,ATAR,Bachelor of Communication Design Information Set,https://www.billyblue.edu.au/bachelor-of-communication-design-information-set?id=76,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Design strategist, Social entrepreneur, Design thinking generalist, Branding and identity designer, User experience designer, Customer experience designer, Service designer, Packaging designer, Interface designer, Web and interaction designer, Film and video designer, Book and publication designer, Information architect, Environmental designer, Assistant photographer, Marketing and promotions assistant, Art director, Illustrator, Visual Communication and graphic designer, Finished artist and production assistant",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,BA,"The Bachelor of Communication Design is an AQF 7 qualification designed to provide graduates with a well-developed theoretical and technical base of coherent visual communication design knowledge and skills, closely aligned with industry demands and expectations. The Bachelor of Communication Design enables opportunity for discipline-specific enquiry in one or more complementary specialist areas, leading either to graduate‐level employment in the design sector or to further research-based enquiry or specialised design study at a post-graduate level.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Year,1.0
Yes,ATAR,Bachelor of Communication Design Information Set,https://www.billyblue.edu.au/bachelor-of-communication-design-information-set?id=76,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Design strategist, Social entrepreneur, Design thinking generalist, Branding and identity designer, User experience designer, Customer experience designer, Service designer, Packaging designer, Interface designer, Web and interaction designer, Film and video designer, Book and publication designer, Information architect, Environmental designer, Assistant photographer, Marketing and promotions assistant, Art director, Illustrator, Visual Communication and graphic designer, Finished artist and production assistant",Yes,College of Design,,,Brisbane,A,Yes,Billy Blue College,Yes,BA,"The Bachelor of Communication Design is an AQF 7 qualification designed to provide graduates with a well-developed theoretical and technical base of coherent visual communication design knowledge and skills, closely aligned with industry demands and expectations. The Bachelor of Communication Design enables opportunity for discipline-specific enquiry in one or more complementary specialist areas, leading either to graduate‐level employment in the design sector or to further research-based enquiry or specialised design study at a post-graduate level.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Year,1.0
Yes,ATAR,Bachelor of Communication Design Information Set,https://www.billyblue.edu.au/bachelor-of-communication-design-information-set?id=76,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Design strategist, Social entrepreneur, Design thinking generalist, Branding and identity designer, User experience designer, Customer experience designer, Service designer, Packaging designer, Interface designer, Web and interaction designer, Film and video designer, Book and publication designer, Information architect, Environmental designer, Assistant photographer, Marketing and promotions assistant, Art director, Illustrator, Visual Communication and graphic designer, Finished artist and production assistant",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,BA,"The Bachelor of Communication Design is an AQF 7 qualification designed to provide graduates with a well-developed theoretical and technical base of coherent visual communication design knowledge and skills, closely aligned with industry demands and expectations. The Bachelor of Communication Design enables opportunity for discipline-specific enquiry in one or more complementary specialist areas, leading either to graduate‐level employment in the design sector or to further research-based enquiry or specialised design study at a post-graduate level.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Year,1.0
Yes,ATAR,Bachelor of Digital Media (3D Design & Animation),https://www.billyblue.edu.au/courses/digital-media-design/bachelor-of-digital-media-3d-design?id=79,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"3D Animator, Digital Design , 3D Concept Artist, Compositor, Digital Matte Artist",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,BA,"You might have noticed they’re doing some fairly incredible things in the cartoon space these days, and you could join them! The first thing you’ll learn is not to call it ‘the cartoon space’. After that, you’ll be invited into a cartoon space of modelling, rigging, giant mallets, animation, texturing, dropping safes on people, lighting, composition and rolling your eyes at dusty old gags. In addition, you’ll be at the edge’s edge of what’s happening in VR / AR – which, between us, is so exciting you won’t be able to keep up your cool retro-mirrorshades attitude. We see you, Spike Spiegel. All that, and in your final year you can apply for an internship with a professional 3D design and animation studio, with the chance to work on live projects for a real-world client. Not a cartoon client. Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Digital Media (3D Design & Animation),https://www.billyblue.edu.au/courses/digital-media-design/bachelor-of-digital-media-3d-design?id=79,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"3D Animator, Digital Design , 3D Concept Artist, Compositor, Digital Matte Artist",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,BA,"You might have noticed they’re doing some fairly incredible things in the cartoon space these days, and you could join them! The first thing you’ll learn is not to call it ‘the cartoon space’. After that, you’ll be invited into a cartoon space of modelling, rigging, giant mallets, animation, texturing, dropping safes on people, lighting, composition and rolling your eyes at dusty old gags. In addition, you’ll be at the edge’s edge of what’s happening in VR / AR – which, between us, is so exciting you won’t be able to keep up your cool retro-mirrorshades attitude. We see you, Spike Spiegel. All that, and in your final year you can apply for an internship with a professional 3D design and animation studio, with the chance to work on live projects for a real-world client. Not a cartoon client. Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Digital Media (Interaction Design),https://www.billyblue.edu.au/courses/digital-media-design/bachelor-of-digital-media-interaction-design?id=80,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Digital Designer, Front-end Developer, Interaction Designer, UX Designer, Web Designer",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,BA,"How do you feel about human-computer interaction? How about graphic and interface design or information architecture or non-linear storytelling? Do you feel anything about the way humans interact with machines? Okay, you passed the Voight-Kampff test. This is the path for you if you’re passionate about things like the role of human psychology in designing user interfaces. As opposed to machine psychology, which… isn’t a thing. Interaction Design is extremely relevant to anything happening across web, mobile, social and online. You’ll learn strategic thinking, user experience design and development – and have the opportunity to apply for an internship in a professional studio, working on live projects.  Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Digital Media (Interaction Design),https://www.billyblue.edu.au/courses/digital-media-design/bachelor-of-digital-media-interaction-design?id=80,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Digital Designer, Front-end Developer, Interaction Designer, UX Designer, Web Designer",Yes,College of Design,,,Brisbane,A,Yes,Billy Blue College,Yes,BA,"How do you feel about human-computer interaction? How about graphic and interface design or information architecture or non-linear storytelling? Do you feel anything about the way humans interact with machines? Okay, you passed the Voight-Kampff test. This is the path for you if you’re passionate about things like the role of human psychology in designing user interfaces. As opposed to machine psychology, which… isn’t a thing. Interaction Design is extremely relevant to anything happening across web, mobile, social and online. You’ll learn strategic thinking, user experience design and development – and have the opportunity to apply for an internship in a professional studio, working on live projects.  Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Digital Media (Film & Video Design),https://www.billyblue.edu.au/courses/digital-media-design/bachelor-of-digital-motion-design?id=81,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Digital Designer, Colour Grader, Concept Artist, Digital Video Producer, Broadcast Designer",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,BA,"Guaranteed to impress people when you casually drop it into conversation at parties, Film & Video Design is also a brilliant qualification to have if you’d like to spend your work time doing things with motion graphic design, digital video production, editing and post-production, sound design, concept design, pre-production planning, cinematography, compositing and visual effects. Or if you’re just into solving problems that other people probably don’t even know exist.In addition to working through briefs and creative processes that get used by professionals, in your final year you’ll have the chance to apply for an internship with a professional motion design studio or production house, where you’ll potentially be working on real-world clients’ live projects. Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Interior Design (Commercial),https://www.billyblue.edu.au/courses/interiors/bachelor-of-interior-design-commercial?id=84,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Designer, 3D Computer Modelling Consultant, Design Consultant, Innovative Workplace Designer, Virtual Environment Designer",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,BA,"If you’re reading this in a café or pub, look around. Somebody – or some team – put together the furnishings you’re currently kicking back in. Giving a commercial focus to your interior design means you’ll be looking at things link branding, lighting, sustainability and materiality. You’ll also be across scheduling and documentation – which are big parts of setting up shops and workplaces and VR spaces and suchlike. At Billy Blue, we also underscore the importance of new technologies and environmentally sustainable practices for the future of this field.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Interior Design (Commercial),https://www.billyblue.edu.au/courses/interiors/bachelor-of-interior-design-commercial?id=84,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Designer, 3D Computer Modelling Consultant, Design Consultant, Innovative Workplace Designer, Virtual Environment Designer",Yes,College of Design,,,Brisbane,A,Yes,Billy Blue College,Yes,BA,"If you’re reading this in a café or pub, look around. Somebody – or some team – put together the furnishings you’re currently kicking back in. Giving a commercial focus to your interior design means you’ll be looking at things link branding, lighting, sustainability and materiality. You’ll also be across scheduling and documentation – which are big parts of setting up shops and workplaces and VR spaces and suchlike. At Billy Blue, we also underscore the importance of new technologies and environmentally sustainable practices for the future of this field.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Interior Design (Commercial),https://www.billyblue.edu.au/courses/interiors/bachelor-of-interior-design-commercial?id=84,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Designer, 3D Computer Modelling Consultant, Design Consultant, Innovative Workplace Designer, Virtual Environment Designer",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,BA,"If you’re reading this in a café or pub, look around. Somebody – or some team – put together the furnishings you’re currently kicking back in. Giving a commercial focus to your interior design means you’ll be looking at things link branding, lighting, sustainability and materiality. You’ll also be across scheduling and documentation – which are big parts of setting up shops and workplaces and VR spaces and suchlike. At Billy Blue, we also underscore the importance of new technologies and environmentally sustainable practices for the future of this field.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Interior Design (Residential),https://www.billyblue.edu.au/courses/interiors/bachelor-of-interior-design-residential?id=85,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Designer, Residential Design Consultant, Homelessness Solutions Strategist, 3D Computer Modelling Consultant, Innovative Home Technology Consultant",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,BA,"Let’s get something clear: residential interior design isn’t just showing off the bargains you found in a tasteful little op shop in the middle of nowhere or showcasing the latest in Art Deco-inspired furnishings. It’s a language that speaks to the notion of a home as both a physical and mental place. In this course, you’ll explore and respond to contemporary issues in interior design thinking as it relates to the residential side of the street – our aging population, homelessness, evolving gender roles and definitions of family. On the practical side, you’ll be working with documentation, scheduling, professional design practice plus new and/or environmentally sustainable materials.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Interior Design (Residential),https://www.billyblue.edu.au/courses/interiors/bachelor-of-interior-design-residential?id=85,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Designer, Residential Design Consultant, Homelessness Solutions Strategist, 3D Computer Modelling Consultant, Innovative Home Technology Consultant",Yes,College of Design,,,Brisbane,A,Yes,Billy Blue College,Yes,BA,"Let’s get something clear: residential interior design isn’t just showing off the bargains you found in a tasteful little op shop in the middle of nowhere or showcasing the latest in Art Deco-inspired furnishings. It’s a language that speaks to the notion of a home as both a physical and mental place. In this course, you’ll explore and respond to contemporary issues in interior design thinking as it relates to the residential side of the street – our aging population, homelessness, evolving gender roles and definitions of family. On the practical side, you’ll be working with documentation, scheduling, professional design practice plus new and/or environmentally sustainable materials.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor of Interior Design (Residential),https://www.billyblue.edu.au/courses/interiors/bachelor-of-interior-design-residential?id=85,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Designer, Residential Design Consultant, Homelessness Solutions Strategist, 3D Computer Modelling Consultant, Innovative Home Technology Consultant",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,BA,"Let’s get something clear: residential interior design isn’t just showing off the bargains you found in a tasteful little op shop in the middle of nowhere or showcasing the latest in Art Deco-inspired furnishings. It’s a language that speaks to the notion of a home as both a physical and mental place. In this course, you’ll explore and respond to contemporary issues in interior design thinking as it relates to the residential side of the street – our aging population, homelessness, evolving gender roles and definitions of family. On the practical side, you’ll be working with documentation, scheduling, professional design practice plus new and/or environmentally sustainable materials.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor Of Software Engineering (Artificial Intelligence),https://www.billyblue.edu.au/courses/creative-technology-courses/bachelor-of-software-engineering-artifical-intelligence,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Software Engineer, Software Developer, Data Scientist, Machine Learning Engineer, Computer Vision Engineer",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,BA,"Funny story: this blurb was written by a network of AI spiders crawling the web for the best way to convince you to do a Bachelor of Software Engineering. Nah, not really. But one day that could be a reality. You could build a system that generates course guide information, putting the human writer out of work and – WAIT A MINUTE. Ahem. What you’ll actually be doing, you monster, is a combination of technical stuff like computer vision, natural language processing, speech recognition and machine learning, as well as the more ‘human’ topics including ideation, design thinking, project management and interpersonal communication.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
Yes,ATAR,Bachelor Of Software Engineering (Artificial Intelligence),https://www.billyblue.edu.au/courses/creative-technology-courses/bachelor-of-software-engineering-artifical-intelligence,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Software Engineer, Software Developer, Data Scientist, Machine Learning Engineer, Computer Vision Engineer",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,BA,"Funny story: this blurb was written by a network of AI spiders crawling the web for the best way to convince you to do a Bachelor of Software Engineering. Nah, not really. But one day that could be a reality. You could build a system that generates course guide information, putting the human writer out of work and – WAIT A MINUTE. Ahem. What you’ll actually be doing, you monster, is a combination of technical stuff like computer vision, natural language processing, speech recognition and machine learning, as well as the more ‘human’ topics including ideation, design thinking, project management and interpersonal communication.",,Years,Australia,Equivalent AQF level,6.0,AUD,Yes,Years,2.0
